stats_o/mean,train/episode,stats_g/mean,epoch,test/success_rate,stats_g/std,test/mean_Q,stats_o/std,train/success_rate,test/episode
0.18392707,100.0,0.3812487,0,0.0,0.23861636,-2.2596111,0.79918504,0.0,20.0
0.1937719,200.0,0.3843591,1,0.0,0.23293567,-2.7882295,0.8265123,0.0,40.0
0.19528598,300.0,0.38675377,2,0.0,0.23159869,-3.3253047,0.8429827,0.0,60.0
0.19444267,400.0,0.39034262,3,0.0,0.2310674,-4.7861395,0.8579651,0.0,80.0
0.19370306,500.0,0.38848045,4,0.0,0.23084624,-5.1114664,0.8760731,0.0,100.0
0.19230174,600.0,0.38637015,5,0.0,0.2322162,-5.150831,0.8893347,0.0,120.0
0.19141398,700.0,0.38535327,6,0.0,0.23080763,-5.9923315,0.89574903,0.0,140.0
0.19201694,800.0,0.38525826,7,0.0,0.23134746,-8.426446,0.8997329,0.0,160.0
0.19209383,900.0,0.38397285,8,0.0,0.2322449,-9.387363,0.90339226,0.0,180.0
0.19220261,1000.0,0.38346246,9,0.0,0.23197387,-11.519098,0.9054175,0.0,200.0
0.1937495,1100.0,0.38309503,10,0.0,0.23177941,-13.277989,0.90946615,0.0,220.0
0.19348408,1200.0,0.38204643,11,0.05,0.23183523,-11.921355,0.91209924,0.0,240.0
0.19364391,1300.0,0.38168725,12,0.0,0.2323508,-14.732129,0.91341156,0.0,260.0
0.19481215,1400.0,0.38042703,13,0.0,0.23312804,-15.339228,0.91541713,0.0,280.0
0.19483526,1500.0,0.37966546,14,0.05,0.23372483,-16.802479,0.9149608,0.0,300.0
0.19487442,1600.0,0.37970543,15,0.0,0.23353484,-17.646198,0.9160608,0.0,320.0
0.19472498,1700.0,0.3793681,16,0.0,0.23337968,-18.716415,0.91774905,0.02,340.0
0.19501233,1800.0,0.37895775,17,0.05,0.2339945,-18.50962,0.918525,0.0,360.0
0.19474953,1900.0,0.37820974,18,0.0,0.23427878,-20.63724,0.91805226,0.02,380.0
0.19506504,2000.0,0.37735176,19,0.05,0.23499581,-16.931507,0.91936535,0.0,400.0
0.19465424,2100.0,0.3765345,20,0.0,0.23551151,-20.552387,0.91976094,0.0,420.0
0.19421738,2200.0,0.37658444,21,0.0,0.2357464,-21.879494,0.9215332,0.0,440.0
0.19360422,2300.0,0.3763456,22,0.0,0.2364498,-23.804026,0.92395747,0.01,460.0
0.19339016,2400.0,0.37594983,23,0.0,0.23672676,-24.675823,0.9256592,0.0,480.0
0.19349457,2500.0,0.3756424,24,0.0,0.23724364,-25.841928,0.9273877,0.02,500.0
0.19376881,2600.0,0.37568054,25,0.0,0.23744972,-25.477493,0.9286439,0.0,520.0
0.1943236,2700.0,0.37530422,26,0.0,0.23785539,-24.683388,0.9294096,0.0,540.0
0.19479677,2800.0,0.3747337,27,0.05,0.23791991,-25.17884,0.9313779,0.0,560.0
0.19514689,2900.0,0.37516397,28,0.0,0.2383013,-23.25979,0.933738,0.02,580.0
0.19463961,3000.0,0.3744197,29,0.1,0.23889449,-22.1869,0.9357181,0.01,600.0
0.19474001,3100.0,0.37520477,30,0.05,0.23926298,-25.433243,0.9376506,0.01,620.0
0.19414017,3200.0,0.37438887,31,0.05,0.24007854,-25.262943,0.93908006,0.01,640.0
0.19387378,3300.0,0.37494758,32,0.0,0.24032475,-23.78036,0.9414903,0.01,660.0
0.19404772,3400.0,0.37512606,33,0.05,0.23992941,-21.477655,0.9436522,0.03,680.0
0.19390641,3500.0,0.37545943,34,0.1,0.23974875,-28.317526,0.9458539,0.01,700.0
0.19397675,3600.0,0.37610793,35,0.05,0.23983632,-25.991024,0.9481216,0.02,720.0
0.19416434,3700.0,0.37639514,36,0.0,0.23968439,-23.45334,0.9501653,0.01,740.0
0.19400793,3800.0,0.37676254,37,0.05,0.239697,-25.681824,0.9518995,0.01,760.0
0.1939284,3900.0,0.37631482,38,0.0,0.2398716,-28.448812,0.9536239,0.03,780.0
0.19376637,4000.0,0.3765512,39,0.1,0.24002838,-23.550776,0.9552498,0.01,800.0
0.19351287,4100.0,0.37641886,40,0.0,0.2402802,-24.886715,0.9570427,0.02,820.0
0.19347644,4200.0,0.3763554,41,0.0,0.2403971,-22.863523,0.95877665,0.02,840.0
0.19325614,4300.0,0.37650755,42,0.05,0.24068257,-24.235718,0.9601408,0.03,860.0
0.19319673,4400.0,0.3766901,43,0.05,0.24065314,-25.740082,0.9610907,0.05,880.0
0.19300637,4500.0,0.37687945,44,0.0,0.24079551,-27.761536,0.96242344,0.02,900.0
0.19318539,4600.0,0.37669274,45,0.0,0.2407591,-25.102283,0.9641252,0.04,920.0
0.19311905,4700.0,0.37653777,46,0.15,0.24093495,-25.815292,0.9655754,0.0,940.0
0.19252823,4800.0,0.37647638,47,0.05,0.24109946,-21.38168,0.966649,0.0,960.0
0.19224948,4900.0,0.3762587,48,0.05,0.24145643,-27.216314,0.9682987,0.0,980.0
0.19192302,5000.0,0.3766208,49,0.0,0.24137303,-27.744085,0.9694645,0.05,1000.0
