stats_o/mean,test/success_rate,test/episode,test/mean_Q,epoch,train/episode,stats_g/mean,stats_o/std,stats_g/std,train/success_rate
0.1927045,0.0,20.0,-2.5194087,0,100.0,0.3850345,0.7953445,0.22753367,0.001
0.19714445,0.01,40.0,-4.9706316,1,200.0,0.38074452,0.7848313,0.2282755,0.002
0.1977351,0.015000000000000003,60.0,-7.1502595,2,300.0,0.37988478,0.7785284,0.22883031,0.002
0.19658017,0.005,80.0,-9.043169,3,400.0,0.37985396,0.77850556,0.22987537,0.008
0.1955915,0.02,100.0,-10.571083,4,500.0,0.3799395,0.7797301,0.22978099,0.009
0.19396499,0.02,120.0,-12.500135,5,600.0,0.37920737,0.7809483,0.22950692,0.006
0.19386491,0.05500000000000001,140.0,-13.512238,6,700.0,0.37925047,0.7836238,0.22946393,0.014000000000000002
0.19414678,0.06999999999999999,160.0,-14.202057,7,800.0,0.3792873,0.7882985,0.22931743,0.016999999999999998
0.19416651,0.035,180.0,-16.829664,8,900.0,0.37889534,0.7941324,0.22993536,0.026000000000000002
0.19385442,0.085,200.0,-16.886097,9,1000.0,0.378759,0.80009955,0.2305078,0.025
0.19418068,0.06000000000000001,220.0,-17.473772,10,1100.0,0.37871304,0.80634964,0.23061576,0.032999999999999995
0.19402726,0.12000000000000002,240.0,-18.052204,11,1200.0,0.37894183,0.81328976,0.23127022,0.028000000000000004
0.19359009,0.075,260.0,-20.006746,12,1300.0,0.37868685,0.81790006,0.23217806,0.028000000000000004
0.1932331,0.06000000000000001,280.0,-22.111801,13,1400.0,0.3776664,0.82257825,0.2332891,0.033
0.19339898,0.11000000000000001,300.0,-22.021296,14,1500.0,0.37700862,0.82731616,0.23395261,0.046000000000000006
0.19384316,0.085,320.0,-22.2532,15,1600.0,0.37666887,0.832815,0.23438463,0.030000000000000006
0.19337147,0.125,340.0,-22.436188,16,1700.0,0.37652534,0.837454,0.23442502,0.048
0.19365218,0.10500000000000001,360.0,-23.549524,17,1800.0,0.37647262,0.8413173,0.23476191,0.048
0.19340646,0.07,380.0,-24.63903,18,1900.0,0.37648183,0.8453762,0.23524673,0.049
0.19323488,0.095,400.0,-25.6082,19,2000.0,0.37612778,0.8489901,0.23552413,0.06200000000000001
0.19277796,0.075,420.0,-26.457508,20,2100.0,0.37572676,0.85285985,0.23576283,0.048
0.1928319,0.12,440.0,-25.225094,21,2200.0,0.3755445,0.85712206,0.2359004,0.05500000000000001
0.19297323,0.12999999999999998,460.0,-26.29892,22,2300.0,0.37542653,0.860221,0.2362068,0.043000000000000003
0.19285199,0.13999999999999999,480.0,-25.550594,23,2400.0,0.37512842,0.86378115,0.23659806,0.052000000000000005
0.19275603,0.13,500.0,-26.260656,24,2500.0,0.37518817,0.8678028,0.23645894,0.07100000000000001
0.19268125,0.15,520.0,-26.963587,25,2600.0,0.37550694,0.87164867,0.23636308,0.07
0.19263342,0.16,540.0,-26.307728,26,2700.0,0.3758723,0.87514704,0.23613772,0.07200000000000001
0.19263558,0.19,560.0,-25.38142,27,2800.0,0.37596685,0.87869614,0.2358913,0.081
0.19275925,0.16499999999999998,580.0,-27.26392,28,2900.0,0.37627697,0.88221055,0.23579912,0.059
0.19286194,0.205,600.0,-26.224339,29,3000.0,0.37635309,0.8853424,0.23570795,0.086
0.19267657,0.185,620.0,-26.390844,30,3100.0,0.3764333,0.88844264,0.23566437,0.08900000000000001
0.19265744,0.23500000000000001,640.0,-24.703522,31,3200.0,0.37653404,0.89147013,0.23562841,0.074
0.19269888,0.21500000000000002,660.0,-24.750757,32,3300.0,0.37680396,0.89456713,0.23548952,0.092
0.19272488,0.19999999999999998,680.0,-26.702423,33,3400.0,0.3768835,0.8978735,0.23520091,0.09
0.1926445,0.19,700.0,-25.780512,34,3500.0,0.37697595,0.9011526,0.23497453,0.10300000000000002
0.19277656,0.21000000000000002,720.0,-25.452505,35,3600.0,0.37718004,0.90420115,0.23476294,0.10500000000000001
0.1927475,0.30999999999999994,740.0,-22.85104,36,3700.0,0.37720776,0.90734404,0.23455806,0.1
0.19282301,0.22999999999999998,760.0,-27.081717,37,3800.0,0.37748057,0.91000634,0.23443742,0.101
0.19282296,0.25,780.0,-25.082174,38,3900.0,0.3776579,0.91285074,0.2341905,0.10299999999999998
0.19272265,0.275,800.0,-23.378683,39,4000.0,0.3777162,0.9155116,0.23407122,0.12000000000000002
0.1927394,0.25999999999999995,820.0,-26.584234,40,4100.0,0.37775844,0.91815966,0.23390135,0.121
0.19264716,0.24,840.0,-24.376364,41,4200.0,0.37783355,0.9205677,0.23382553,0.10600000000000001
0.19264266,0.28500000000000003,860.0,-24.62354,42,4300.0,0.377846,0.92325246,0.23373084,0.11499999999999999
0.19260448,0.225,880.0,-26.196568,43,4400.0,0.37790218,0.925679,0.23361993,0.136
0.1925604,0.33,900.0,-21.452387,44,4500.0,0.37808356,0.92781675,0.23351145,0.118
0.19251937,0.26,920.0,-24.687092,45,4600.0,0.37830597,0.9298956,0.23328523,0.126
0.1924265,0.31500000000000006,940.0,-22.948267,46,4700.0,0.37851772,0.93209064,0.2331675,0.133
0.19231534,0.38,960.0,-19.222132,47,4800.0,0.37865615,0.9341763,0.2329875,0.135
0.19217911,0.27999999999999997,980.0,-24.70417,48,4900.0,0.3788225,0.9362006,0.23285282,0.134
0.19211033,0.30999999999999994,1000.0,-21.854397,49,5000.0,0.3790552,0.93777496,0.23264614,0.14300000000000002
