epoch,stats_o/std,stats_o/mean,test/episode,test/success_rate,train/success_rate,stats_g/mean,train/episode,stats_g/std,test/mean_Q
0,0.81088567,0.19281857,20.0,0.0,0.0,0.38443258,100.0,0.2342665,-2.3808436
1,0.8052547,0.19626513,40.0,0.0,0.0,0.3904717,200.0,0.22829618,-4.213462
2,0.8182342,0.19313388,60.0,0.0,0.0,0.3898218,300.0,0.22826786,-3.9598453
3,0.83244485,0.19217487,80.0,0.0,0.0,0.39182487,400.0,0.22754845,-7.116601
4,0.83441603,0.19301608,100.0,0.0,0.0,0.3901046,500.0,0.22719924,-9.183447
5,0.8344376,0.19399069,120.0,0.0,0.0,0.3897783,600.0,0.22690348,-9.123869
6,0.83549404,0.1953001,140.0,0.0,0.0,0.38864192,700.0,0.22620925,-9.669791
7,0.8352083,0.1969178,160.0,0.0,0.0,0.38782874,800.0,0.22779691,-11.55574
8,0.83436936,0.19598149,180.0,0.0,0.0,0.38644576,900.0,0.22851364,-14.555048
9,0.8338423,0.19603129,200.0,0.0,0.0,0.38574743,1000.0,0.22828142,-14.692408
10,0.835038,0.19619827,220.0,0.0,0.0,0.38573366,1100.0,0.22836436,-15.588275
11,0.8373795,0.19696091,240.0,0.0,0.0,0.38474277,1200.0,0.22850981,-16.537619
12,0.8396337,0.19689089,260.0,0.0,0.0,0.38395032,1300.0,0.22949967,-19.010035
13,0.84113497,0.1965402,280.0,0.0,0.0,0.38290176,1400.0,0.22988307,-17.971664
14,0.84387666,0.19669661,300.0,0.05,0.0,0.38288122,1500.0,0.22956125,-19.56454
15,0.84582704,0.1968296,320.0,0.0,0.01,0.38270178,1600.0,0.2294332,-21.901974
16,0.848834,0.19725744,340.0,0.05,0.01,0.38207665,1700.0,0.22957432,-21.180487
17,0.8516375,0.19764511,360.0,0.0,0.0,0.3813966,1800.0,0.22992523,-21.949411
18,0.85483366,0.1977371,380.0,0.0,0.01,0.3809975,1900.0,0.23047803,-23.554401
19,0.8582037,0.19771343,400.0,0.05,0.0,0.38068238,2000.0,0.2306628,-24.28754
20,0.86186,0.1981373,420.0,0.05,0.0,0.38025743,2100.0,0.23110817,-21.039608
21,0.86565554,0.19814007,440.0,0.0,0.0,0.38041607,2200.0,0.2316963,-26.936121
22,0.86840993,0.1978937,460.0,0.0,0.0,0.38016167,2300.0,0.23220484,-25.37699
23,0.8714345,0.19784696,480.0,0.0,0.0,0.37993374,2400.0,0.23227908,-28.122036
24,0.87462753,0.19745266,500.0,0.0,0.0,0.37952083,2500.0,0.23320214,-29.076431
25,0.877307,0.19745845,520.0,0.0,0.01,0.38017797,2600.0,0.23386525,-29.792566
26,0.8801651,0.19725458,540.0,0.05,0.0,0.37997392,2700.0,0.23421054,-30.094376
27,0.88307476,0.19709516,560.0,0.15,0.02,0.37898216,2800.0,0.23473467,-26.09512
28,0.8857078,0.19663896,580.0,0.0,0.01,0.3788817,2900.0,0.2356248,-28.485302
29,0.8887177,0.1961043,600.0,0.05,0.0,0.37805343,3000.0,0.23592925,-27.217258
30,0.89120436,0.19568153,620.0,0.05,0.0,0.37839344,3100.0,0.23663756,-29.866796
31,0.8929124,0.19504529,640.0,0.0,0.0,0.37769604,3200.0,0.2372261,-27.260218
32,0.8954152,0.19426368,660.0,0.1,0.03,0.3778446,3300.0,0.23748922,-26.888739
33,0.89778113,0.19410583,680.0,0.05,0.01,0.377654,3400.0,0.23750241,-23.7918
34,0.90006125,0.19434756,700.0,0.05,0.02,0.37799475,3500.0,0.23740008,-29.709057
35,0.90249294,0.19425932,720.0,0.0,0.0,0.37811285,3600.0,0.23742393,-30.765366
36,0.9048781,0.19443199,740.0,0.0,0.01,0.37800512,3700.0,0.237289,-26.702305
37,0.9071028,0.19437383,760.0,0.1,0.01,0.37800676,3800.0,0.2374899,-30.938671
38,0.90963084,0.19428693,780.0,0.05,0.0,0.37794402,3900.0,0.23747428,-34.56775
39,0.9110547,0.19463673,800.0,0.0,0.01,0.37809283,4000.0,0.23755959,-26.435764
40,0.91266143,0.19457503,820.0,0.05,0.01,0.37791726,4100.0,0.23756349,-28.512457
41,0.9142337,0.19437827,840.0,0.05,0.01,0.3777083,4200.0,0.23752253,-24.924807
42,0.9157536,0.19408797,860.0,0.05,0.03,0.3778637,4300.0,0.23761193,-28.17571
43,0.9173674,0.19415726,880.0,0.1,0.01,0.3781015,4400.0,0.23745544,-26.731113
44,0.9191013,0.19402473,900.0,0.05,0.01,0.37806663,4500.0,0.23751506,-32.097878
45,0.92071617,0.19356701,920.0,0.0,0.02,0.37782025,4600.0,0.23760185,-30.957254
46,0.92260146,0.19324757,940.0,0.05,0.0,0.37754998,4700.0,0.2377462,-30.301718
47,0.9238963,0.19315149,960.0,0.05,0.01,0.3774901,4800.0,0.23773551,-29.142633
48,0.92544764,0.19314761,980.0,0.0,0.01,0.3774707,4900.0,0.23800422,-29.476618
49,0.92685205,0.19275798,1000.0,0.0,0.0,0.37765607,5000.0,0.2378821,-31.534555
