stats_o/std,stats_g/mean,test/mean_Q,train/success_rate,test/success_rate,epoch,stats_o/mean,test/episode,train/episode,stats_g/std
0.81088567,0.38443258,-2.3808436,0.0,0.0,0,0.19281857,20.0,100.0,0.2342665
0.8052547,0.3904717,-4.213462,0.0,0.0,1,0.19626513,40.0,200.0,0.22829618
0.8182342,0.3898218,-3.9598453,0.0,0.0,2,0.19313388,60.0,300.0,0.22826786
0.83244485,0.39182487,-7.116601,0.0,0.0,3,0.19217487,80.0,400.0,0.22754845
0.83441603,0.3901046,-9.183447,0.0,0.0,4,0.19301608,100.0,500.0,0.22719924
0.8344376,0.3897783,-9.123869,0.0,0.0,5,0.19399069,120.0,600.0,0.22690348
0.83549404,0.38864192,-9.669791,0.0,0.0,6,0.1953001,140.0,700.0,0.22620925
0.8352083,0.38782874,-11.55574,0.0,0.0,7,0.1969178,160.0,800.0,0.22779691
0.83436936,0.38644576,-14.555048,0.0,0.0,8,0.19598149,180.0,900.0,0.22851364
0.8338423,0.38574743,-14.692408,0.0,0.0,9,0.19603129,200.0,1000.0,0.22828142
0.835038,0.38573366,-15.588275,0.0,0.0,10,0.19619827,220.0,1100.0,0.22836436
0.8373795,0.38474277,-16.537619,0.0,0.0,11,0.19696091,240.0,1200.0,0.22850981
0.8396337,0.38395032,-19.010035,0.0,0.0,12,0.19689089,260.0,1300.0,0.22949967
0.84113497,0.38290176,-17.971664,0.0,0.0,13,0.1965402,280.0,1400.0,0.22988307
0.84387666,0.38288122,-19.56454,0.0,0.05,14,0.19669661,300.0,1500.0,0.22956125
0.84582704,0.38270178,-21.901974,0.01,0.0,15,0.1968296,320.0,1600.0,0.2294332
0.848834,0.38207665,-21.180487,0.01,0.05,16,0.19725744,340.0,1700.0,0.22957432
0.8516375,0.3813966,-21.949411,0.0,0.0,17,0.19764511,360.0,1800.0,0.22992523
0.85483366,0.3809975,-23.554401,0.01,0.0,18,0.1977371,380.0,1900.0,0.23047803
0.8582037,0.38068238,-24.28754,0.0,0.05,19,0.19771343,400.0,2000.0,0.2306628
0.86186,0.38025743,-21.039608,0.0,0.05,20,0.1981373,420.0,2100.0,0.23110817
0.86565554,0.38041607,-26.936121,0.0,0.0,21,0.19814007,440.0,2200.0,0.2316963
0.86840993,0.38016167,-25.37699,0.0,0.0,22,0.1978937,460.0,2300.0,0.23220484
0.8714345,0.37993374,-28.122036,0.0,0.0,23,0.19784696,480.0,2400.0,0.23227908
0.87462753,0.37952083,-29.076431,0.0,0.0,24,0.19745266,500.0,2500.0,0.23320214
0.877307,0.38017797,-29.792566,0.01,0.0,25,0.19745845,520.0,2600.0,0.23386525
0.8801651,0.37997392,-30.094376,0.0,0.05,26,0.19725458,540.0,2700.0,0.23421054
0.88307476,0.37898216,-26.09512,0.02,0.15,27,0.19709516,560.0,2800.0,0.23473467
0.8857078,0.3788817,-28.485302,0.01,0.0,28,0.19663896,580.0,2900.0,0.2356248
0.8887177,0.37805343,-27.217258,0.0,0.05,29,0.1961043,600.0,3000.0,0.23592925
0.89120436,0.37839344,-29.866796,0.0,0.05,30,0.19568153,620.0,3100.0,0.23663756
0.8929124,0.37769604,-27.260218,0.0,0.0,31,0.19504529,640.0,3200.0,0.2372261
0.8954152,0.3778446,-26.888739,0.03,0.1,32,0.19426368,660.0,3300.0,0.23748922
0.89778113,0.377654,-23.7918,0.01,0.05,33,0.19410583,680.0,3400.0,0.23750241
0.90006125,0.37799475,-29.709057,0.02,0.05,34,0.19434756,700.0,3500.0,0.23740008
0.90249294,0.37811285,-30.765366,0.0,0.0,35,0.19425932,720.0,3600.0,0.23742393
0.9048781,0.37800512,-26.702305,0.01,0.0,36,0.19443199,740.0,3700.0,0.237289
0.9071028,0.37800676,-30.938671,0.01,0.1,37,0.19437383,760.0,3800.0,0.2374899
0.90963084,0.37794402,-34.56775,0.0,0.05,38,0.19428693,780.0,3900.0,0.23747428
0.9110547,0.37809283,-26.435764,0.01,0.0,39,0.19463673,800.0,4000.0,0.23755959
0.91266143,0.37791726,-28.512457,0.01,0.05,40,0.19457503,820.0,4100.0,0.23756349
0.9142337,0.3777083,-24.924807,0.01,0.05,41,0.19437827,840.0,4200.0,0.23752253
0.9157536,0.3778637,-28.17571,0.03,0.05,42,0.19408797,860.0,4300.0,0.23761193
0.9173674,0.3781015,-26.731113,0.01,0.1,43,0.19415726,880.0,4400.0,0.23745544
0.9191013,0.37806663,-32.097878,0.01,0.05,44,0.19402473,900.0,4500.0,0.23751506
0.92071617,0.37782025,-30.957254,0.02,0.0,45,0.19356701,920.0,4600.0,0.23760185
0.92260146,0.37754998,-30.301718,0.0,0.05,46,0.19324757,940.0,4700.0,0.2377462
0.9238963,0.3774901,-29.142633,0.01,0.05,47,0.19315149,960.0,4800.0,0.23773551
0.92544764,0.3774707,-29.476618,0.01,0.0,48,0.19314761,980.0,4900.0,0.23800422
0.92685205,0.37765607,-31.534555,0.0,0.0,49,0.19275798,1000.0,5000.0,0.2378821
