test/success_rate,stats_o/std,stats_g/std,test/mean_Q,test/episode,epoch,train/success_rate,stats_o/mean,train/episode,stats_g/mean
0.0,0.7998064,0.24737038,-2.3188815,20.0,0,0.0,0.19238575,100.0,0.36562905
0.0,0.79351693,0.2464896,-3.416858,40.0,1,0.0,0.19569375,200.0,0.36062375
0.0,0.80280775,0.24245252,-5.2880216,60.0,2,0.0,0.19691151,300.0,0.3633888
0.0,0.8199865,0.24268481,-6.0724287,80.0,3,0.0,0.19599041,400.0,0.36610797
0.0,0.8373994,0.24371025,-5.423029,100.0,4,0.0,0.19431275,500.0,0.36786228
0.0,0.84962124,0.2474539,-7.425489,120.0,5,0.0,0.19360536,600.0,0.36753014
0.0,0.8583006,0.24810107,-8.823583,140.0,6,0.0,0.19222367,700.0,0.36700168
0.0,0.8630447,0.24840046,-8.777623,160.0,7,0.0,0.19177185,800.0,0.36998084
0.0,0.86505103,0.24817207,-11.403254,180.0,8,0.0,0.19229577,900.0,0.37353104
0.0,0.869281,0.24783704,-11.854081,200.0,9,0.0,0.1929162,1000.0,0.3726764
0.0,0.87271327,0.24697247,-12.727783,220.0,10,0.0,0.1928203,1100.0,0.37322122
0.0,0.8762151,0.24673548,-14.211652,240.0,11,0.0,0.19297414,1200.0,0.3755875
0.0,0.8789649,0.24702981,-14.547519,260.0,12,0.0,0.19215709,1300.0,0.37599275
0.0,0.8826876,0.24737775,-13.149282,280.0,13,0.0,0.19112909,1400.0,0.37522703
0.0,0.8858754,0.24768816,-15.313617,300.0,14,0.0,0.19133952,1500.0,0.37423444
0.0,0.8910515,0.24771814,-15.904127,320.0,15,0.0,0.19045915,1600.0,0.37290597
0.0,0.8944422,0.24812736,-18.203566,340.0,16,0.0,0.1904803,1700.0,0.37380293
0.0,0.8981559,0.24847718,-16.546478,360.0,17,0.0,0.19078225,1800.0,0.3739631
0.0,0.90060276,0.24876478,-18.587189,380.0,18,0.0,0.19077885,1900.0,0.37383184
0.0,0.9044999,0.24867089,-18.017548,400.0,19,0.0,0.19135645,2000.0,0.37332863
0.0,0.9083215,0.24854967,-18.791082,420.0,20,0.0,0.19182774,2100.0,0.37232834
0.0,0.91130584,0.24851477,-17.440714,440.0,21,0.0,0.19260545,2200.0,0.37264916
0.0,0.9142694,0.24802974,-21.617899,460.0,22,0.0,0.1923142,2300.0,0.37361243
0.0,0.9161585,0.24833345,-22.562311,480.0,23,0.0,0.19236416,2400.0,0.37265247
0.0,0.918791,0.24847081,-20.500763,500.0,24,0.0,0.19277856,2500.0,0.37227896
0.0,0.92087203,0.24858849,-19.75411,520.0,25,0.0,0.19305214,2600.0,0.37224564
0.0,0.92334837,0.24868345,-21.36497,540.0,26,0.0,0.19347587,2700.0,0.3716075
0.0,0.92569697,0.24897143,-24.033443,560.0,27,0.0,0.19366421,2800.0,0.37089902
0.0,0.92826414,0.24876902,-23.480017,580.0,28,0.0,0.19351329,2900.0,0.3712016
0.0,0.93024045,0.24898545,-25.91727,600.0,29,0.0,0.19348936,3000.0,0.37039468
0.0,0.932402,0.2492108,-21.080042,620.0,30,0.0,0.19349912,3100.0,0.37024406
0.0,0.9338577,0.24928665,-23.01118,640.0,31,0.0,0.19327767,3200.0,0.36980143
0.0,0.9354536,0.24930923,-23.014593,660.0,32,0.0,0.19354917,3300.0,0.36952257
0.0,0.9364762,0.24924412,-28.181717,680.0,33,0.0,0.19388817,3400.0,0.36916694
0.0,0.93792117,0.24961157,-26.614828,700.0,34,0.0,0.19400015,3500.0,0.36894014
0.0,0.9393385,0.2497815,-23.987177,720.0,35,0.0,0.193733,3600.0,0.3685147
0.0,0.94088113,0.2497624,-25.366161,740.0,36,0.0,0.19350773,3700.0,0.36909613
0.0,0.9433413,0.24951145,-26.794415,760.0,37,0.0,0.19370629,3800.0,0.3692167
0.0,0.94419175,0.24952935,-26.95992,780.0,38,0.0,0.19300768,3900.0,0.36913016
0.0,0.94504917,0.24941503,-24.520056,800.0,39,0.0,0.19249266,4000.0,0.36918375
0.0,0.9468244,0.24945761,-27.304773,820.0,40,0.0,0.19245486,4100.0,0.36971417
0.0,0.94820344,0.24923699,-23.731192,840.0,41,0.0,0.19213739,4200.0,0.36967498
0.0,0.9492913,0.24949911,-26.360226,860.0,42,0.0,0.1918279,4300.0,0.3692369
0.0,0.9502113,0.2497422,-28.408115,880.0,43,0.0,0.19140516,4400.0,0.3685894
0.0,0.9514927,0.2501165,-30.66607,900.0,44,0.0,0.19115421,4500.0,0.36836785
0.0,0.9526061,0.2500384,-32.79821,920.0,45,0.0,0.19092372,4600.0,0.36862043
0.0,0.95387363,0.25025582,-29.181728,940.0,46,0.0,0.1907045,4700.0,0.3687467
0.0,0.9549692,0.25055197,-31.776196,960.0,47,0.0,0.19031088,4800.0,0.36872965
0.0,0.9564191,0.25070906,-29.729486,980.0,48,0.0,0.18998457,4900.0,0.36835667
0.0,0.9574037,0.2505489,-28.395481,1000.0,49,0.0,0.18977001,5000.0,0.36881348
