epoch,stats_g/mean,stats_o/std,test/episode,stats_o/mean,test/mean_Q,train/success_rate,train/episode,test/success_rate,stats_g/std
0,0.3674757,0.7788935,20.0,0.19647913,-2.8640666,0.0,100.0,0.0,0.24125686
1,0.37187785,0.7690375,40.0,0.19851226,-4.9321775,0.0,200.0,0.0,0.24054746
2,0.37531805,0.7627181,60.0,0.19744723,-6.9348526,0.0,300.0,0.0,0.24044523
3,0.37614354,0.76122236,80.0,0.19672172,-9.268616,0.0,400.0,0.0,0.23954833
4,0.37745222,0.7642229,100.0,0.19619033,-10.795017,0.0,500.0,0.0,0.2396841
5,0.3761758,0.76947343,120.0,0.19574027,-12.201036,0.0,600.0,0.0,0.2411186
6,0.37511167,0.7747234,140.0,0.19576049,-13.684793,0.0,700.0,0.0,0.24264903
7,0.37421116,0.77956605,160.0,0.19584127,-15.682741,0.001,800.0,0.0,0.24392553
8,0.37408835,0.7850274,180.0,0.1958042,-16.747078,0.0,900.0,0.005,0.24458757
9,0.37452096,0.79081714,200.0,0.19589502,-17.624542,0.0,1000.0,0.0,0.24491028
10,0.3747065,0.7956828,220.0,0.19587308,-19.46877,0.001,1100.0,0.01,0.24502721
11,0.3755595,0.8005415,240.0,0.19542459,-21.554256,0.0,1200.0,0.005,0.24512362
12,0.3749382,0.80561227,260.0,0.1954096,-22.181324,0.0,1300.0,0.01,0.24550772
13,0.37471384,0.8109743,280.0,0.19535866,-21.828217,0.003,1400.0,0.01,0.24575157
14,0.37408298,0.81593645,300.0,0.19559439,-23.326427,0.007000000000000001,1500.0,0.025,0.24602428
15,0.37378722,0.8215357,320.0,0.19553918,-22.728123,0.002,1600.0,0.025,0.24632278
16,0.3733819,0.8273609,340.0,0.19567281,-24.913958,0.003,1700.0,0.02,0.24678905
17,0.3736698,0.83414805,360.0,0.1956512,-25.194645,0.005,1800.0,0.02,0.2469215
18,0.3739037,0.8396555,380.0,0.19566981,-25.613281,0.004,1900.0,0.04,0.247081
19,0.3741414,0.84648097,400.0,0.19537327,-26.531494,0.008,2000.0,0.015000000000000003,0.24687605
20,0.37405676,0.8533125,420.0,0.1950402,-28.120083,0.006,2100.0,0.03,0.24699411
21,0.37414455,0.85941714,440.0,0.19497427,-25.781261,0.01,2200.0,0.045,0.24700853
22,0.3744778,0.86446273,460.0,0.19485769,-27.585373,0.003,2300.0,0.025,0.24673147
23,0.37474173,0.86957085,480.0,0.19496924,-28.433813,0.01,2400.0,0.034999999999999996,0.24657471
24,0.375014,0.8744648,500.0,0.19479394,-27.60167,0.011000000000000001,2500.0,0.04,0.24612308
25,0.3750053,0.87925017,520.0,0.19468474,-26.412868,0.016999999999999998,2600.0,0.085,0.24583772
26,0.3751797,0.8838913,540.0,0.19467267,-26.902359,0.013000000000000001,2700.0,0.034999999999999996,0.24557574
27,0.37498713,0.8882535,560.0,0.19461095,-26.12417,0.012,2800.0,0.065,0.24542788
28,0.37508497,0.89244,580.0,0.19461897,-27.61761,0.014000000000000002,2900.0,0.039999999999999994,0.24509124
29,0.3753304,0.896846,600.0,0.19484565,-27.42251,0.015000000000000003,3000.0,0.045000000000000005,0.2446758
30,0.37530738,0.9010496,620.0,0.19497626,-24.933464,0.016,3100.0,0.085,0.24447532
31,0.3754725,0.90495265,640.0,0.1950644,-27.086832,0.016,3200.0,0.08499999999999999,0.24420008
32,0.3755892,0.9089087,660.0,0.19508466,-27.516949,0.011,3300.0,0.045,0.24391918
33,0.37536508,0.9123346,680.0,0.19482358,-29.564682,0.019,3400.0,0.045000000000000005,0.24378142
34,0.37541565,0.91554564,700.0,0.19477148,-25.612864,0.014000000000000002,3500.0,0.05500000000000001,0.24361654
35,0.3756885,0.9191273,720.0,0.19479688,-26.461176,0.012,3600.0,0.05,0.24326953
36,0.3761236,0.92226046,740.0,0.19483638,-24.14132,0.006,3700.0,0.045,0.24308352
37,0.37647158,0.9253341,760.0,0.19478324,-20.307852,0.021,3800.0,0.095,0.24280724
38,0.37668848,0.9281775,780.0,0.19469814,-24.08206,0.023,3900.0,0.06999999999999999,0.24256909
39,0.37671438,0.9311587,800.0,0.19457667,-26.673267,0.017,4000.0,0.065,0.24225175
40,0.37673864,0.93381137,820.0,0.19438751,-22.205557,0.028000000000000004,4100.0,0.09000000000000001,0.24212584
41,0.37692267,0.9363859,840.0,0.19420569,-23.69057,0.021,4200.0,0.085,0.24184594
42,0.3770741,0.9384478,860.0,0.19405136,-22.648962,0.019,4300.0,0.1,0.24164014
43,0.37716037,0.9406637,880.0,0.19406638,-22.32191,0.02,4400.0,0.095,0.24143188
44,0.37729368,0.9425701,900.0,0.19405112,-23.047918,0.018,4500.0,0.1,0.24117868
45,0.3773791,0.9444494,920.0,0.19401589,-20.867996,0.015000000000000003,4600.0,0.10500000000000001,0.24092928
46,0.3773923,0.94645673,940.0,0.19393441,-21.174452,0.019,4700.0,0.07,0.24073526
47,0.3773914,0.94813573,960.0,0.19393745,-22.776875,0.022,4800.0,0.1,0.24058942
48,0.3774653,0.9498579,980.0,0.19389215,-22.572107,0.024,4900.0,0.07500000000000001,0.24048671
49,0.37760407,0.9514793,1000.0,0.19379494,-22.537823,0.015,5000.0,0.06999999999999999,0.24031648
