test/success_rate,test/mean_Q,stats_o/mean,stats_o/std,stats_g/std,train/episode,train/success_rate,stats_g/mean,test/episode,epoch
0.0,-2.710422,0.19721879,0.7895567,0.24796446,100.0,0.0,0.3777198,20.0,0
0.0,-4.0718846,0.19656625,0.7872294,0.24428341,200.0,0.0,0.3766933,40.0,1
0.0,-6.2039733,0.19714871,0.7943928,0.24225906,300.0,0.0,0.3773555,60.0,2
0.0,-7.8047204,0.19679752,0.79635733,0.24223939,400.0,0.0,0.37632674,80.0,3
0.0,-8.799999,0.19768691,0.793385,0.24002346,500.0,0.0,0.37595245,100.0,4
0.0,-10.656355,0.19710232,0.7952159,0.2405088,600.0,0.0,0.3751111,120.0,5
0.0,-12.881653,0.19677141,0.7977263,0.24052994,700.0,0.0,0.373705,140.0,6
0.0,-14.1020355,0.19656442,0.8040677,0.241114,800.0,0.0,0.37379527,160.0,7
0.0,-16.2479,0.19576365,0.8115778,0.2420923,900.0,0.0,0.3750541,180.0,8
0.0,-15.501348,0.19584748,0.8177759,0.24257657,1000.0,0.0,0.3744213,200.0,9
0.0,-16.537712,0.1954967,0.8230718,0.24226871,1100.0,0.0,0.37434387,220.0,10
0.0,-18.324324,0.19536476,0.82771635,0.2423641,1200.0,0.0,0.3764801,240.0,11
0.0,-18.60535,0.19558811,0.8305384,0.24215971,1300.0,0.0,0.3766041,260.0,12
0.0,-18.520947,0.19559631,0.8336443,0.24253556,1400.0,0.0,0.3757958,280.0,13
0.0,-19.842468,0.19626272,0.8378859,0.24214563,1500.0,0.0,0.3754692,300.0,14
0.0,-20.640446,0.19543839,0.84286267,0.24177575,1600.0,0.0,0.37497893,320.0,15
0.0,-24.432705,0.19506666,0.8467896,0.24195251,1700.0,0.0,0.3758231,340.0,16
0.0,-23.042866,0.19467798,0.8502476,0.24213494,1800.0,0.0,0.3758214,360.0,17
0.0,-23.231298,0.19440578,0.8532894,0.24255952,1900.0,0.0,0.37604672,380.0,18
0.0,-24.222126,0.19398892,0.85625553,0.24294603,2000.0,0.0,0.37598845,400.0,19
0.0,-26.218899,0.1937802,0.85981804,0.24252923,2100.0,0.0,0.37656257,420.0,20
0.05,-22.198414,0.19388124,0.8631462,0.24254704,2200.0,0.0,0.37727484,440.0,21
0.0,-27.625813,0.19365719,0.8660598,0.242643,2300.0,0.0,0.3779826,460.0,22
0.0,-27.661798,0.19358316,0.8690769,0.24287213,2400.0,0.0,0.37747487,480.0,23
0.0,-25.8977,0.19367723,0.8724588,0.24287155,2500.0,0.0,0.37792626,500.0,24
0.0,-23.124594,0.19389738,0.8753818,0.24320708,2600.0,0.0,0.378185,520.0,25
0.0,-26.887918,0.19396776,0.8784196,0.24295175,2700.0,0.0,0.3783928,540.0,26
0.0,-30.224833,0.19409607,0.8809276,0.24333908,2800.0,0.0,0.37803677,560.0,27
0.0,-31.507557,0.19449833,0.8837881,0.24350463,2900.0,0.0,0.3778591,580.0,28
0.0,-27.808826,0.1942394,0.88704014,0.24379118,3000.0,0.0,0.37702993,600.0,29
0.0,-26.207865,0.19428998,0.8893929,0.24396583,3100.0,0.0,0.37698168,620.0,30
0.0,-29.874813,0.19380155,0.8910972,0.24406299,3200.0,0.0,0.37711716,640.0,31
0.0,-29.263418,0.19383423,0.8927818,0.24423806,3300.0,0.0,0.37704346,660.0,32
0.0,-34.266365,0.19389638,0.89494383,0.24431702,3400.0,0.0,0.37715796,680.0,33
0.0,-26.60548,0.19361942,0.89686483,0.24456118,3500.0,0.0,0.37694857,700.0,34
0.0,-26.666595,0.19329509,0.89893067,0.24485599,3600.0,0.0,0.37648502,720.0,35
0.0,-30.194794,0.19302827,0.901066,0.24486338,3700.0,0.0,0.3768446,740.0,36
0.0,-31.419506,0.19274077,0.9028601,0.24486463,3800.0,0.0,0.3769784,760.0,37
0.0,-33.345856,0.19257993,0.9048658,0.24488892,3900.0,0.0,0.37672472,780.0,38
0.0,-24.933105,0.19237167,0.9065644,0.24491096,4000.0,0.0,0.37638754,800.0,39
0.0,-32.981377,0.19231305,0.9083838,0.24521409,4100.0,0.0,0.37634683,820.0,40
0.0,-33.50049,0.1922208,0.9097669,0.24509975,4200.0,0.0,0.37629655,840.0,41
0.0,-33.1227,0.19211768,0.9109941,0.24507879,4300.0,0.0,0.3762795,860.0,42
0.0,-28.229313,0.19185299,0.91272616,0.24517274,4400.0,0.0,0.37602934,880.0,43
0.0,-32.41498,0.19173975,0.9144894,0.24517561,4500.0,0.0,0.37580752,900.0,44
0.0,-34.93865,0.1916392,0.91646564,0.24513571,4600.0,0.0,0.37567583,920.0,45
0.0,-31.947796,0.19159445,0.9183287,0.24500377,4700.0,0.0,0.3759456,940.0,46
0.0,-35.40504,0.19159597,0.92003286,0.2450131,4800.0,0.0,0.3759726,960.0,47
0.0,-32.85133,0.19165955,0.92161685,0.24520853,4900.0,0.0,0.3757689,980.0,48
0.0,-33.10047,0.19153781,0.9232267,0.2451303,5000.0,0.0,0.37593994,1000.0,49
