test/episode,stats_o/std,test/success_rate,stats_o/mean,stats_g/std,epoch,test/mean_Q,stats_g/mean,train/episode,train/success_rate
20.0,0.7895567,0.0,0.19721879,0.24796446,0,-2.710422,0.3777198,100.0,0.0
40.0,0.7872294,0.0,0.19656625,0.24428341,1,-4.0718846,0.3766933,200.0,0.0
60.0,0.7943928,0.0,0.19714871,0.24225906,2,-6.2039733,0.3773555,300.0,0.0
80.0,0.79635733,0.0,0.19679752,0.24223939,3,-7.8047204,0.37632674,400.0,0.0
100.0,0.793385,0.0,0.19768691,0.24002346,4,-8.799999,0.37595245,500.0,0.0
120.0,0.7952159,0.0,0.19710232,0.2405088,5,-10.656355,0.3751111,600.0,0.0
140.0,0.7977263,0.0,0.19677141,0.24052994,6,-12.881653,0.373705,700.0,0.0
160.0,0.8040677,0.0,0.19656442,0.241114,7,-14.1020355,0.37379527,800.0,0.0
180.0,0.8115778,0.0,0.19576365,0.2420923,8,-16.2479,0.3750541,900.0,0.0
200.0,0.8177759,0.0,0.19584748,0.24257657,9,-15.501348,0.3744213,1000.0,0.0
220.0,0.8230718,0.0,0.1954967,0.24226871,10,-16.537712,0.37434387,1100.0,0.0
240.0,0.82771635,0.0,0.19536476,0.2423641,11,-18.324324,0.3764801,1200.0,0.0
260.0,0.8305384,0.0,0.19558811,0.24215971,12,-18.60535,0.3766041,1300.0,0.0
280.0,0.8336443,0.0,0.19559631,0.24253556,13,-18.520947,0.3757958,1400.0,0.0
300.0,0.8378859,0.0,0.19626272,0.24214563,14,-19.842468,0.3754692,1500.0,0.0
320.0,0.84286267,0.0,0.19543839,0.24177575,15,-20.640446,0.37497893,1600.0,0.0
340.0,0.8467896,0.0,0.19506666,0.24195251,16,-24.432705,0.3758231,1700.0,0.0
360.0,0.8502476,0.0,0.19467798,0.24213494,17,-23.042866,0.3758214,1800.0,0.0
380.0,0.8532894,0.0,0.19440578,0.24255952,18,-23.231298,0.37604672,1900.0,0.0
400.0,0.85625553,0.0,0.19398892,0.24294603,19,-24.222126,0.37598845,2000.0,0.0
420.0,0.85981804,0.0,0.1937802,0.24252923,20,-26.218899,0.37656257,2100.0,0.0
440.0,0.8631462,0.05,0.19388124,0.24254704,21,-22.198414,0.37727484,2200.0,0.0
460.0,0.8660598,0.0,0.19365719,0.242643,22,-27.625813,0.3779826,2300.0,0.0
480.0,0.8690769,0.0,0.19358316,0.24287213,23,-27.661798,0.37747487,2400.0,0.0
500.0,0.8724588,0.0,0.19367723,0.24287155,24,-25.8977,0.37792626,2500.0,0.0
520.0,0.8753818,0.0,0.19389738,0.24320708,25,-23.124594,0.378185,2600.0,0.0
540.0,0.8784196,0.0,0.19396776,0.24295175,26,-26.887918,0.3783928,2700.0,0.0
560.0,0.8809276,0.0,0.19409607,0.24333908,27,-30.224833,0.37803677,2800.0,0.0
580.0,0.8837881,0.0,0.19449833,0.24350463,28,-31.507557,0.3778591,2900.0,0.0
600.0,0.88704014,0.0,0.1942394,0.24379118,29,-27.808826,0.37702993,3000.0,0.0
620.0,0.8893929,0.0,0.19428998,0.24396583,30,-26.207865,0.37698168,3100.0,0.0
640.0,0.8910972,0.0,0.19380155,0.24406299,31,-29.874813,0.37711716,3200.0,0.0
660.0,0.8927818,0.0,0.19383423,0.24423806,32,-29.263418,0.37704346,3300.0,0.0
680.0,0.89494383,0.0,0.19389638,0.24431702,33,-34.266365,0.37715796,3400.0,0.0
700.0,0.89686483,0.0,0.19361942,0.24456118,34,-26.60548,0.37694857,3500.0,0.0
720.0,0.89893067,0.0,0.19329509,0.24485599,35,-26.666595,0.37648502,3600.0,0.0
740.0,0.901066,0.0,0.19302827,0.24486338,36,-30.194794,0.3768446,3700.0,0.0
760.0,0.9028601,0.0,0.19274077,0.24486463,37,-31.419506,0.3769784,3800.0,0.0
780.0,0.9048658,0.0,0.19257993,0.24488892,38,-33.345856,0.37672472,3900.0,0.0
800.0,0.9065644,0.0,0.19237167,0.24491096,39,-24.933105,0.37638754,4000.0,0.0
820.0,0.9083838,0.0,0.19231305,0.24521409,40,-32.981377,0.37634683,4100.0,0.0
840.0,0.9097669,0.0,0.1922208,0.24509975,41,-33.50049,0.37629655,4200.0,0.0
860.0,0.9109941,0.0,0.19211768,0.24507879,42,-33.1227,0.3762795,4300.0,0.0
880.0,0.91272616,0.0,0.19185299,0.24517274,43,-28.229313,0.37602934,4400.0,0.0
900.0,0.9144894,0.0,0.19173975,0.24517561,44,-32.41498,0.37580752,4500.0,0.0
920.0,0.91646564,0.0,0.1916392,0.24513571,45,-34.93865,0.37567583,4600.0,0.0
940.0,0.9183287,0.0,0.19159445,0.24500377,46,-31.947796,0.3759456,4700.0,0.0
960.0,0.92003286,0.0,0.19159597,0.2450131,47,-35.40504,0.3759726,4800.0,0.0
980.0,0.92161685,0.0,0.19165955,0.24520853,48,-32.85133,0.3757689,4900.0,0.0
1000.0,0.9232267,0.0,0.19153781,0.2451303,49,-33.10047,0.37593994,5000.0,0.0
