test/mean_Q,stats_o/std,train/success_rate,test/episode,stats_o/mean,stats_g/std,stats_g/mean,test/success_rate,train/episode,epoch
-2.935367,0.7696879,0.0,20.0,0.19445829,0.24126129,0.3678059,0.0,100.0,0
-5.123374,0.7587659,0.0,40.0,0.19684955,0.24063453,0.37461996,0.0,200.0,1
-7.2078233,0.7542999,0.0,60.0,0.19633606,0.2395856,0.37827486,0.0,300.0,2
-9.191385,0.7533495,0.0,80.0,0.19612058,0.23816729,0.37785777,0.0,400.0,3
-11.05604,0.7541215,0.0,100.0,0.1962426,0.23787872,0.37817448,0.0,500.0,4
-13.068995,0.7555562,0.0,120.0,0.19611135,0.23770814,0.3779667,0.0,600.0,5
-14.513362,0.7593883,0.0,140.0,0.19598153,0.2382493,0.37819904,0.0,700.0,6
-16.005707,0.76475585,0.0,160.0,0.19637533,0.23973902,0.37780172,0.0,800.0,7
-17.013973,0.7705188,0.0,180.0,0.19638982,0.24126497,0.37665945,0.0,900.0,8
-17.747334,0.7769724,0.0,200.0,0.19650277,0.24164538,0.37612557,0.0,1000.0,9
-19.402945,0.7830305,0.001,220.0,0.1966413,0.24194753,0.3759268,0.005,1100.0,10
-21.416733,0.7885168,0.0,240.0,0.19692366,0.24260326,0.37606353,0.0,1200.0,11
-22.135578,0.794114,0.001,260.0,0.19726345,0.24298611,0.37583894,0.0,1300.0,12
-23.02756,0.79997265,0.002,280.0,0.19718927,0.24346931,0.37540793,0.0,1400.0,13
-24.221603,0.805476,0.001,300.0,0.19718343,0.24368164,0.37521213,0.0,1500.0,14
-23.694628,0.81125563,0.0,320.0,0.19723332,0.24375288,0.3752049,0.0,1600.0,15
-26.60323,0.8169292,0.0,340.0,0.19697815,0.24433024,0.3744852,0.01,1700.0,16
-26.582178,0.82244873,0.001,360.0,0.1969578,0.24450478,0.37431782,0.0,1800.0,17
-26.768381,0.82822675,0.001,380.0,0.19687372,0.24474593,0.37402362,0.0,1900.0,18
-27.122036,0.8336539,0.002,400.0,0.19679439,0.2448484,0.3735898,0.01,2000.0,19
-29.293512,0.83844316,0.001,420.0,0.1967853,0.24478951,0.37325186,0.0,2100.0,20
-25.80415,0.8437231,0.001,440.0,0.1968544,0.24468155,0.37317982,0.01,2200.0,21
-28.550653,0.84936064,0.0,460.0,0.19672744,0.24444632,0.37360397,0.01,2300.0,22
-31.132435,0.8547805,0.002,480.0,0.1966047,0.24432485,0.3738636,0.01,2400.0,23
-32.436714,0.8604643,0.003,500.0,0.19618098,0.2443964,0.3739512,0.01,2500.0,24
-29.585531,0.8652089,0.003,520.0,0.1959322,0.24464464,0.37359577,0.01,2600.0,25
-29.273174,0.8693538,0.004,540.0,0.19567499,0.24451527,0.37353355,0.01,2700.0,26
-30.632153,0.8742813,0.001,560.0,0.19536206,0.24446622,0.3732044,0.01,2800.0,27
-31.834558,0.87945634,0.004,580.0,0.19514637,0.24418601,0.37307674,0.005,2900.0,28
-30.474203,0.88465613,0.004,600.0,0.1948129,0.24401593,0.37294656,0.01,3000.0,29
-29.272095,0.889366,0.005,620.0,0.19473511,0.24386851,0.37271595,0.015000000000000003,3100.0,30
-28.953882,0.89324206,0.003,640.0,0.19450054,0.24366081,0.37270483,0.02,3200.0,31
-29.362995,0.8970888,0.001,660.0,0.19407678,0.24347861,0.3727538,0.005,3300.0,32
-31.803976,0.9015029,0.002,680.0,0.19378217,0.24314323,0.37268263,0.015000000000000003,3400.0,33
-31.104473,0.90564555,0.003,700.0,0.19341892,0.2429251,0.37248713,0.005,3500.0,34
-31.079815,0.90957963,0.007000000000000001,720.0,0.19305316,0.24274059,0.37233958,0.01,3600.0,35
-31.05221,0.9131449,0.004,740.0,0.19285065,0.24264054,0.3724928,0.034999999999999996,3700.0,36
-28.650879,0.91644156,0.006,760.0,0.19271311,0.24249358,0.37269336,0.015000000000000003,3800.0,37
-29.102652,0.91933805,0.002,780.0,0.19248292,0.24240084,0.37263364,0.025,3900.0,38
-28.882751,0.92224705,0.004,800.0,0.1923316,0.24217741,0.3723629,0.015000000000000003,4000.0,39
-27.480774,0.924856,0.006,820.0,0.19214135,0.24208102,0.37223706,0.030000000000000006,4100.0,40
-28.42529,0.9276241,0.0,840.0,0.19202629,0.24192634,0.3722692,0.04,4200.0,41
-28.004614,0.93007433,0.004,860.0,0.19188124,0.24179785,0.372334,0.01,4300.0,42
-28.743261,0.93230116,0.011000000000000001,880.0,0.19187817,0.2415785,0.37241054,0.02,4400.0,43
-30.085178,0.9343766,0.006,900.0,0.19174048,0.24141674,0.37251344,0.02,4500.0,44
-27.03864,0.9366247,0.008,920.0,0.19163904,0.24121563,0.3725338,0.02,4600.0,45
-28.841038,0.93887186,0.004,940.0,0.19150522,0.24104491,0.37275213,0.02,4700.0,46
-27.411621,0.9409069,0.006,960.0,0.1915142,0.24090764,0.37297577,0.01,4800.0,47
-28.349445,0.943044,0.007000000000000001,980.0,0.19146673,0.24080701,0.37307805,0.02,4900.0,48
-26.607447,0.94507617,0.009,1000.0,0.19131982,0.2406178,0.37320644,0.05,5000.0,49
