test/success_rate,stats_o/mean,stats_g/std,epoch,stats_o/std,train/success_rate,test/episode,test/mean_Q,train/episode,stats_g/mean
0.0,0.19647913,0.24125686,0,0.7788935,0.0,20.0,-2.8640666,100.0,0.3674757
0.0,0.19942859,0.23997125,1,0.7696847,0.0,40.0,-5.0702124,200.0,0.37187296
0.0,0.19868441,0.24081698,2,0.7636869,0.0,60.0,-7.310313,300.0,0.37541977
0.0,0.1979008,0.24019513,3,0.7621529,0.0,80.0,-8.967272,400.0,0.37623364
0.0,0.19773838,0.23947755,4,0.7621213,0.0,100.0,-11.302668,500.0,0.37739867
0.0,0.19757411,0.24044769,5,0.7642621,0.0,120.0,-12.781389,600.0,0.37671518
0.0,0.19801927,0.24120703,6,0.7687255,0.0,140.0,-14.37789,700.0,0.3775603
0.0,0.19810599,0.2426569,7,0.7731931,0.0,160.0,-15.89062,800.0,0.37683588
0.005,0.19843772,0.2436539,8,0.77892447,0.001,180.0,-17.152378,900.0,0.3758627
0.005,0.19842887,0.24435778,9,0.78461343,0.0,200.0,-17.908443,1000.0,0.37497824
0.005,0.19849128,0.24506812,10,0.7907426,0.003,220.0,-19.636389,1100.0,0.37437266
0.0,0.19821951,0.24587068,11,0.79632556,0.002,240.0,-21.029636,1200.0,0.3745822
0.0,0.19777581,0.24619786,12,0.8019632,0.002,260.0,-21.805553,1300.0,0.37428746
0.0,0.19747871,0.24683924,13,0.80741656,0.0,280.0,-22.216213,1400.0,0.3737797
0.005,0.19704187,0.24724028,14,0.81273955,0.0,300.0,-24.31034,1500.0,0.373133
0.02,0.19684568,0.24732867,15,0.81868565,0.003,320.0,-22.29868,1600.0,0.37283653
0.01,0.19633815,0.24744067,16,0.82557803,0.003,340.0,-25.613276,1700.0,0.37250033
0.015000000000000003,0.1957173,0.24762285,17,0.8316118,0.003,360.0,-24.509632,1800.0,0.3721617
0.02,0.19535482,0.24749069,18,0.8383562,0.004,380.0,-23.969618,1900.0,0.37229246
0.005,0.19498642,0.247473,19,0.84508055,0.005,400.0,-24.746231,2000.0,0.37237257
0.02,0.19438076,0.24731264,20,0.85152644,0.007000000000000001,420.0,-25.70785,2100.0,0.37276825
0.025,0.19394508,0.24700756,21,0.8585614,0.008,440.0,-24.092896,2200.0,0.37271747
0.02,0.1934717,0.24691658,22,0.8653966,0.003,460.0,-24.796217,2300.0,0.3725105
0.01,0.19339111,0.24670473,23,0.87137955,0.004,480.0,-28.42919,2400.0,0.3723069
0.02,0.19325534,0.24648817,24,0.87732774,0.008,500.0,-26.266546,2500.0,0.37231064
0.030000000000000006,0.19317034,0.24628957,25,0.8825216,0.01,520.0,-23.32438,2600.0,0.37226883
0.030000000000000006,0.19306383,0.24601479,26,0.88786143,0.005,540.0,-26.02392,2700.0,0.37254804
0.04,0.19284454,0.24581388,27,0.89328814,0.005,560.0,-26.63357,2800.0,0.37237567
0.06000000000000001,0.19275942,0.24561743,28,0.89801896,0.015,580.0,-24.608044,2900.0,0.3723169
0.045,0.19268183,0.24540785,29,0.90295905,0.01,600.0,-24.273335,3000.0,0.3723299
0.05,0.19243091,0.24518852,30,0.9073092,0.011000000000000001,620.0,-23.318272,3100.0,0.3722083
0.075,0.1920732,0.24501343,31,0.9117915,0.004,640.0,-22.897366,3200.0,0.37216926
0.034999999999999996,0.19177261,0.24480622,32,0.91606724,0.006,660.0,-23.331738,3300.0,0.37205714
0.025,0.19153512,0.2445291,33,0.92041624,0.012,680.0,-23.971045,3400.0,0.371989
0.034999999999999996,0.19143853,0.24436852,34,0.924127,0.008,700.0,-24.585993,3500.0,0.3719018
0.045,0.19114247,0.24422912,35,0.92768985,0.007000000000000001,720.0,-21.93801,3600.0,0.37183142
0.045,0.19083655,0.24417028,36,0.9310895,0.012,740.0,-27.011292,3700.0,0.37193257
0.05500000000000001,0.19059843,0.24401934,37,0.934276,0.01,760.0,-23.879927,3800.0,0.37191027
0.035,0.19044963,0.24392764,38,0.937181,0.018,780.0,-25.46519,3900.0,0.37177953
0.035,0.19033273,0.24385051,39,0.93992347,0.008,800.0,-27.027035,4000.0,0.37170005
0.045000000000000005,0.1900849,0.24375439,40,0.94268024,0.007000000000000001,820.0,-22.59136,4100.0,0.37161994
0.030000000000000006,0.18983874,0.24359941,41,0.94521827,0.013000000000000001,840.0,-21.73178,4200.0,0.37164253
0.05,0.18969995,0.2434772,42,0.94789714,0.009999999999999998,860.0,-22.985882,4300.0,0.37165728
0.06000000000000001,0.1894811,0.24339113,43,0.95036775,0.013000000000000001,880.0,-22.122938,4400.0,0.37161312
0.030000000000000006,0.18921833,0.2433084,44,0.9526451,0.015,900.0,-22.89119,4500.0,0.37151012
0.045,0.18911807,0.24320707,45,0.9547537,0.008,920.0,-20.249252,4600.0,0.37142295
0.045,0.18889531,0.24308941,46,0.9568928,0.011,940.0,-20.628347,4700.0,0.37150007
0.06499999999999999,0.1886425,0.24287286,47,0.9587895,0.017,960.0,-19.646076,4800.0,0.37161818
0.05500000000000001,0.18846564,0.24285677,48,0.96072596,0.008,980.0,-19.700024,4900.0,0.3716678
0.065,0.18824151,0.24275088,49,0.9626238,0.008,1000.0,-21.918156,5000.0,0.37183386
