stats_g/mean,train/success_rate,epoch,test/episode,test/mean_Q,stats_o/std,test/success_rate,stats_o/mean,train/episode,stats_g/std
0.3674757,0.0,0,20.0,-2.8640666,0.7788935,0.0,0.19647913,100.0,0.24125686
0.37187785,0.0,1,40.0,-4.9321775,0.7690375,0.0,0.19851226,200.0,0.24054746
0.37531805,0.0,2,60.0,-6.9348526,0.7627181,0.0,0.19744723,300.0,0.24044523
0.37614354,0.0,3,80.0,-9.268616,0.76122236,0.0,0.19672172,400.0,0.23954833
0.37745222,0.0,4,100.0,-10.795017,0.7642229,0.0,0.19619033,500.0,0.2396841
0.3761758,0.0,5,120.0,-12.201036,0.76947343,0.0,0.19574027,600.0,0.2411186
0.37511167,0.0,6,140.0,-13.684793,0.7747234,0.0,0.19576049,700.0,0.24264903
0.37421116,0.001,7,160.0,-15.682741,0.77956605,0.0,0.19584127,800.0,0.24392553
0.37408835,0.0,8,180.0,-16.747078,0.7850274,0.005,0.1958042,900.0,0.24458757
0.37452096,0.0,9,200.0,-17.624542,0.79081714,0.0,0.19589502,1000.0,0.24491028
0.374772,0.002,10,220.0,-19.079123,0.7956339,0.01,0.19591466,1100.0,0.2454346
0.3755001,0.003,11,240.0,-21.525433,0.80087394,0.0,0.19574037,1200.0,0.24547842
0.37532082,0.001,12,260.0,-21.69684,0.80601865,0.005,0.19547825,1300.0,0.2455684
0.37533194,0.003,13,280.0,-21.881664,0.8112196,0.005,0.1954296,1400.0,0.24580672
0.37502447,0.001,14,300.0,-23.282164,0.81660444,0.01,0.19521454,1500.0,0.24577637
0.37503058,0.005,15,320.0,-22.709518,0.8219988,0.015000000000000003,0.19519882,1600.0,0.24559459
0.37479228,0.005,16,340.0,-26.469107,0.82734954,0.025,0.1952658,1700.0,0.2456396
0.37453336,0.004,17,360.0,-26.048187,0.8334788,0.03,0.19501367,1800.0,0.2457628
0.37403646,0.009000000000000001,18,380.0,-25.39682,0.84004897,0.005,0.19464242,1900.0,0.24586587
0.37411302,0.01,19,400.0,-27.553003,0.84591377,0.01,0.19426194,2000.0,0.24568975
0.3740148,0.007000000000000001,20,420.0,-28.283243,0.85130614,0.035,0.19406587,2100.0,0.24548987
0.37405366,0.008,21,440.0,-24.790134,0.8560301,0.05,0.19396803,2200.0,0.24516897
0.37418407,0.011000000000000001,22,460.0,-27.147778,0.86124814,0.04,0.1940574,2300.0,0.24489489
0.37436312,0.012,23,480.0,-29.168478,0.8665212,0.025,0.1942338,2400.0,0.2446539
0.3745226,0.014000000000000002,24,500.0,-27.203125,0.87190753,0.045000000000000005,0.19428143,2500.0,0.24428347
0.37468618,0.009,25,520.0,-26.667786,0.8773115,0.07,0.19400737,2600.0,0.24401441
0.37496966,0.013000000000000001,26,540.0,-25.83956,0.8824741,0.045,0.19398454,2700.0,0.24370131
0.37515992,0.012,27,560.0,-27.191046,0.88726455,0.05500000000000001,0.19395417,2800.0,0.2435159
0.3754015,0.018,28,580.0,-26.871387,0.8921779,0.05,0.19399616,2900.0,0.24329221
0.37561736,0.028000000000000004,29,600.0,-24.957546,0.8968588,0.06500000000000002,0.19430223,3000.0,0.24291568
0.37553102,0.015,30,620.0,-24.830502,0.9011486,0.11499999999999999,0.1943857,3100.0,0.24281318
0.37571755,0.018,31,640.0,-25.532444,0.90513057,0.09,0.19447124,3200.0,0.24263754
0.37559885,0.012,32,660.0,-27.651175,0.9089014,0.06,0.19453657,3300.0,0.24252029
0.37538272,0.016,33,680.0,-27.753809,0.9127657,0.05500000000000001,0.1946803,3400.0,0.24240024
0.37530732,0.016,34,700.0,-25.490648,0.9164494,0.065,0.19465499,3500.0,0.24228399
0.3751947,0.022,35,720.0,-27.311945,0.91997796,0.07500000000000001,0.19480005,3600.0,0.2421726
0.37528664,0.021,36,740.0,-26.964865,0.9230846,0.095,0.19505116,3700.0,0.24224523
0.37525803,0.022,37,760.0,-21.391985,0.92588025,0.06999999999999999,0.19486132,3800.0,0.24214849
0.37535787,0.021,38,780.0,-24.364168,0.9289343,0.035,0.19453704,3900.0,0.24189809
0.37517214,0.018,39,800.0,-23.61819,0.9318576,0.075,0.19428691,4000.0,0.24168625
0.37508377,0.022000000000000002,40,820.0,-23.912193,0.93450147,0.07,0.19421223,4100.0,0.2415735
0.3751549,0.019,41,840.0,-21.300674,0.93716127,0.09,0.19416294,4200.0,0.2413979
0.37537464,0.03,42,860.0,-20.313921,0.93989885,0.15499999999999997,0.1939767,4300.0,0.24122426
0.37542439,0.016999999999999998,43,880.0,-18.866703,0.9422494,0.135,0.19385463,4400.0,0.24109474
0.37549013,0.016,44,900.0,-22.103754,0.9445437,0.085,0.193854,4500.0,0.24097915
0.3755278,0.023,45,920.0,-19.70938,0.9467429,0.1,0.19379528,4600.0,0.24085383
0.37570006,0.015,46,940.0,-19.633694,0.948778,0.09,0.19369368,4700.0,0.24070439
0.37590665,0.038,47,960.0,-20.357876,0.95059997,0.10499999999999998,0.19368045,4800.0,0.24050292
0.3758935,0.02,48,980.0,-21.213856,0.95230645,0.125,0.19361839,4900.0,0.24048789
0.37586036,0.018,49,1000.0,-22.556946,0.9539841,0.1,0.19345528,5000.0,0.24038748
