test/success_rate,test/episode,stats_o/std,train/episode,stats_g/std,stats_o/mean,test/mean_Q,epoch,train/success_rate,stats_g/mean
0.0,20.0,0.7788935,100.0,0.24125686,0.19647913,-2.8640666,0,0.0,0.3674757
0.0,40.0,0.7690375,200.0,0.24054746,0.19851226,-4.9321775,1,0.0,0.37187785
0.0,60.0,0.7627181,300.0,0.24044523,0.19744723,-6.9348526,2,0.0,0.37531805
0.0,80.0,0.76122236,400.0,0.23954833,0.19672172,-9.268616,3,0.0,0.37614354
0.0,100.0,0.7642229,500.0,0.2396841,0.19619033,-10.795017,4,0.0,0.37745222
0.0,120.0,0.76947343,600.0,0.2411186,0.19574027,-12.201036,5,0.0,0.3761758
0.0,140.0,0.7747234,700.0,0.24264903,0.19576049,-13.684793,6,0.0,0.37511167
0.0,160.0,0.77956605,800.0,0.24392553,0.19584127,-15.682741,7,0.001,0.37421116
0.005,180.0,0.7850274,900.0,0.24458757,0.1958042,-16.747078,8,0.0,0.37408835
0.0,200.0,0.79081714,1000.0,0.24491028,0.19589502,-17.624542,9,0.0,0.37452096
0.01,220.0,0.7956828,1100.0,0.24502721,0.19587308,-19.46877,10,0.001,0.3747065
0.005,240.0,0.8005415,1200.0,0.24512362,0.19542459,-21.554256,11,0.0,0.3755595
0.01,260.0,0.80561227,1300.0,0.24550772,0.1954096,-22.181324,12,0.0,0.3749382
0.01,280.0,0.8109743,1400.0,0.24575157,0.19535866,-21.828217,13,0.003,0.37471384
0.025,300.0,0.81593645,1500.0,0.24602428,0.19559439,-23.326427,14,0.007000000000000001,0.37408298
0.025,320.0,0.8215357,1600.0,0.24632278,0.19553918,-22.728123,15,0.002,0.37378722
0.02,340.0,0.8273609,1700.0,0.24678905,0.19567281,-24.913958,16,0.003,0.3733819
0.02,360.0,0.83414805,1800.0,0.2469215,0.1956512,-25.194645,17,0.005,0.3736698
0.04,380.0,0.8396555,1900.0,0.247081,0.19566981,-25.613281,18,0.004,0.3739037
0.015000000000000003,400.0,0.84648097,2000.0,0.24687605,0.19537327,-26.531494,19,0.008,0.3741414
0.03,420.0,0.8533125,2100.0,0.24699411,0.1950402,-28.120083,20,0.006,0.37405676
0.045,440.0,0.85941714,2200.0,0.24700853,0.19497427,-25.781261,21,0.01,0.37414455
0.025,460.0,0.86446273,2300.0,0.24673147,0.19485769,-27.585373,22,0.003,0.3744778
0.034999999999999996,480.0,0.86957085,2400.0,0.24657471,0.19496924,-28.433813,23,0.01,0.37474173
0.04,500.0,0.8744648,2500.0,0.24612308,0.19479394,-27.60167,24,0.011000000000000001,0.375014
0.085,520.0,0.87925017,2600.0,0.24583772,0.19468474,-26.412868,25,0.016999999999999998,0.3750053
0.034999999999999996,540.0,0.8838913,2700.0,0.24557574,0.19467267,-26.902359,26,0.013000000000000001,0.3751797
0.065,560.0,0.8882535,2800.0,0.24542788,0.19461095,-26.12417,27,0.012,0.37498713
0.039999999999999994,580.0,0.89244,2900.0,0.24509124,0.19461897,-27.61761,28,0.014000000000000002,0.37508497
0.045000000000000005,600.0,0.896846,3000.0,0.2446758,0.19484565,-27.42251,29,0.015000000000000003,0.3753304
0.085,620.0,0.9010496,3100.0,0.24447532,0.19497626,-24.933464,30,0.016,0.37530738
0.08499999999999999,640.0,0.90495265,3200.0,0.24420008,0.1950644,-27.086832,31,0.016,0.3754725
0.045,660.0,0.9089087,3300.0,0.24391918,0.19508466,-27.516949,32,0.011,0.3755892
0.045000000000000005,680.0,0.9123346,3400.0,0.24378142,0.19482358,-29.564682,33,0.019,0.37536508
0.05500000000000001,700.0,0.91554564,3500.0,0.24361654,0.19477148,-25.612864,34,0.014000000000000002,0.37541565
0.05,720.0,0.9191273,3600.0,0.24326953,0.19479688,-26.461176,35,0.012,0.3756885
0.045,740.0,0.92226046,3700.0,0.24308352,0.19483638,-24.14132,36,0.006,0.3761236
0.095,760.0,0.9253341,3800.0,0.24280724,0.19478324,-20.307852,37,0.021,0.37647158
0.06999999999999999,780.0,0.9281775,3900.0,0.24256909,0.19469814,-24.08206,38,0.023,0.37668848
0.065,800.0,0.9311587,4000.0,0.24225175,0.19457667,-26.673267,39,0.017,0.37671438
0.09000000000000001,820.0,0.93381137,4100.0,0.24212584,0.19438751,-22.205557,40,0.028000000000000004,0.37673864
0.085,840.0,0.9363859,4200.0,0.24184594,0.19420569,-23.69057,41,0.021,0.37692267
0.1,860.0,0.9384478,4300.0,0.24164014,0.19405136,-22.648962,42,0.019,0.3770741
0.095,880.0,0.9406637,4400.0,0.24143188,0.19406638,-22.32191,43,0.02,0.37716037
0.1,900.0,0.9425701,4500.0,0.24117868,0.19405112,-23.047918,44,0.018,0.37729368
0.10500000000000001,920.0,0.9444494,4600.0,0.24092928,0.19401589,-20.867996,45,0.015000000000000003,0.3773791
0.07,940.0,0.94645673,4700.0,0.24073526,0.19393441,-21.174452,46,0.019,0.3773923
0.1,960.0,0.94813573,4800.0,0.24058942,0.19393745,-22.776875,47,0.022,0.3773914
0.07500000000000001,980.0,0.9498579,4900.0,0.24048671,0.19389215,-22.572107,48,0.024,0.3774653
0.06999999999999999,1000.0,0.9514793,5000.0,0.24031648,0.19379494,-22.537823,49,0.015,0.37760407
