epoch,test/mean_Q,stats_o/std,stats_g/std,stats_g/mean,train/success_rate,test/success_rate,test/episode,stats_o/mean,train/episode
0,-2.8640666,0.7788935,0.24125686,0.3674757,0.0,0.0,20.0,0.19647913,100.0
1,-4.9321775,0.7690375,0.24054746,0.37187785,0.0,0.0,40.0,0.19851226,200.0
2,-6.9348526,0.7627181,0.24044523,0.37531805,0.0,0.0,60.0,0.19744723,300.0
3,-9.268616,0.76122236,0.23954833,0.37614354,0.0,0.0,80.0,0.19672172,400.0
4,-10.795017,0.7642229,0.2396841,0.37745222,0.0,0.0,100.0,0.19619033,500.0
5,-12.201036,0.76947343,0.2411186,0.3761758,0.0,0.0,120.0,0.19574027,600.0
6,-13.684793,0.7747234,0.24264903,0.37511167,0.0,0.0,140.0,0.19576049,700.0
7,-15.682741,0.77956605,0.24392553,0.37421116,0.001,0.0,160.0,0.19584127,800.0
8,-16.747078,0.7850274,0.24458757,0.37408835,0.0,0.005,180.0,0.1958042,900.0
9,-17.624542,0.79081714,0.24491028,0.37452096,0.0,0.0,200.0,0.19589502,1000.0
10,-19.46877,0.7956828,0.24502721,0.3747065,0.001,0.01,220.0,0.19587308,1100.0
11,-21.554256,0.8005415,0.24512362,0.3755595,0.0,0.005,240.0,0.19542459,1200.0
12,-22.181324,0.80561227,0.24550772,0.3749382,0.0,0.01,260.0,0.1954096,1300.0
13,-21.828217,0.8109743,0.24575157,0.37471384,0.003,0.01,280.0,0.19535866,1400.0
14,-23.326427,0.81593645,0.24602428,0.37408298,0.007000000000000001,0.025,300.0,0.19559439,1500.0
15,-22.728123,0.8215357,0.24632278,0.37378722,0.002,0.025,320.0,0.19553918,1600.0
16,-24.913958,0.8273609,0.24678905,0.3733819,0.003,0.02,340.0,0.19567281,1700.0
17,-25.194645,0.83414805,0.2469215,0.3736698,0.005,0.02,360.0,0.1956512,1800.0
18,-25.613281,0.8396555,0.247081,0.3739037,0.004,0.04,380.0,0.19566981,1900.0
19,-26.531494,0.84648097,0.24687605,0.3741414,0.008,0.015000000000000003,400.0,0.19537327,2000.0
20,-28.120083,0.8533125,0.24699411,0.37405676,0.006,0.03,420.0,0.1950402,2100.0
21,-25.781261,0.85941714,0.24700853,0.37414455,0.01,0.045,440.0,0.19497427,2200.0
22,-27.585373,0.86446273,0.24673147,0.3744778,0.003,0.025,460.0,0.19485769,2300.0
23,-28.433813,0.86957085,0.24657471,0.37474173,0.01,0.034999999999999996,480.0,0.19496924,2400.0
24,-27.60167,0.8744648,0.24612308,0.375014,0.011000000000000001,0.04,500.0,0.19479394,2500.0
25,-26.412868,0.87925017,0.24583772,0.3750053,0.016999999999999998,0.085,520.0,0.19468474,2600.0
26,-26.902359,0.8838913,0.24557574,0.3751797,0.013000000000000001,0.034999999999999996,540.0,0.19467267,2700.0
27,-26.12417,0.8882535,0.24542788,0.37498713,0.012,0.065,560.0,0.19461095,2800.0
28,-27.61761,0.89244,0.24509124,0.37508497,0.014000000000000002,0.039999999999999994,580.0,0.19461897,2900.0
29,-27.42251,0.896846,0.2446758,0.3753304,0.015000000000000003,0.045000000000000005,600.0,0.19484565,3000.0
30,-24.933464,0.9010496,0.24447532,0.37530738,0.016,0.085,620.0,0.19497626,3100.0
31,-27.086832,0.90495265,0.24420008,0.3754725,0.016,0.08499999999999999,640.0,0.1950644,3200.0
32,-27.516949,0.9089087,0.24391918,0.3755892,0.011,0.045,660.0,0.19508466,3300.0
33,-29.564682,0.9123346,0.24378142,0.37536508,0.019,0.045000000000000005,680.0,0.19482358,3400.0
34,-25.612864,0.91554564,0.24361654,0.37541565,0.014000000000000002,0.05500000000000001,700.0,0.19477148,3500.0
35,-26.461176,0.9191273,0.24326953,0.3756885,0.012,0.05,720.0,0.19479688,3600.0
36,-24.14132,0.92226046,0.24308352,0.3761236,0.006,0.045,740.0,0.19483638,3700.0
37,-20.307852,0.9253341,0.24280724,0.37647158,0.021,0.095,760.0,0.19478324,3800.0
38,-24.08206,0.9281775,0.24256909,0.37668848,0.023,0.06999999999999999,780.0,0.19469814,3900.0
39,-26.673267,0.9311587,0.24225175,0.37671438,0.017,0.065,800.0,0.19457667,4000.0
40,-22.205557,0.93381137,0.24212584,0.37673864,0.028000000000000004,0.09000000000000001,820.0,0.19438751,4100.0
41,-23.69057,0.9363859,0.24184594,0.37692267,0.021,0.085,840.0,0.19420569,4200.0
42,-22.648962,0.9384478,0.24164014,0.3770741,0.019,0.1,860.0,0.19405136,4300.0
43,-22.32191,0.9406637,0.24143188,0.37716037,0.02,0.095,880.0,0.19406638,4400.0
44,-23.047918,0.9425701,0.24117868,0.37729368,0.018,0.1,900.0,0.19405112,4500.0
45,-20.867996,0.9444494,0.24092928,0.3773791,0.015000000000000003,0.10500000000000001,920.0,0.19401589,4600.0
46,-21.174452,0.94645673,0.24073526,0.3773923,0.019,0.07,940.0,0.19393441,4700.0
47,-22.776875,0.94813573,0.24058942,0.3773914,0.022,0.1,960.0,0.19393745,4800.0
