stats_g/std,train/episode,test/mean_Q,test/episode,train/success_rate,epoch,stats_o/std,stats_o/mean,stats_g/mean,test/success_rate
0.23876257,100.0,-2.9975312,20.0,0.0,0,0.7707761,0.19503343,0.37369666,0.0
0.23887551,200.0,-5.2372203,40.0,0.0,1,0.75892955,0.19691204,0.3762877,0.0
0.23823644,300.0,-7.182492,60.0,0.0,2,0.7510722,0.19631632,0.3805081,0.0
0.23734759,400.0,-9.357514,80.0,0.0,3,0.74918,0.19601081,0.38149372,0.0
0.23799364,500.0,-11.539189,100.0,0.0,4,0.74991983,0.19612636,0.38213637,0.0
0.23868299,600.0,-13.120692,120.0,0.0,5,0.7525027,0.19636522,0.3818752,0.0
0.23899269,700.0,-14.991978,140.0,0.0,6,0.7550042,0.19674774,0.38205266,0.0
0.23983826,800.0,-16.74348,160.0,0.0008333333333333334,7,0.7576401,0.19677825,0.38215145,0.0
0.2403508,900.0,-18.213717,180.0,0.0008333333333333334,8,0.7609578,0.19649176,0.382001,0.004166666666666667
0.24067836,1000.0,-19.841812,200.0,0.0008333333333333334,9,0.7650538,0.19653119,0.38197085,0.0
0.24092184,1100.0,-20.926119,220.0,0.0,10,0.7703034,0.19648051,0.38186106,0.008333333333333333
0.2412468,1200.0,-22.437624,240.0,0.004166666666666667,11,0.7753088,0.196226,0.38186225,0.008333333333333333
0.24150197,1300.0,-23.678102,260.0,0.0016666666666666668,12,0.7809083,0.19621827,0.38174298,0.008333333333333333
0.2419219,1400.0,-24.398203,280.0,0.0025,13,0.7869547,0.19597654,0.38124618,0.012500000000000002
0.24202068,1500.0,-25.503462,300.0,0.0025,14,0.7934187,0.19579951,0.38066116,0.0
0.24192749,1600.0,-24.453886,320.0,0.005833333333333334,15,0.80127186,0.19545995,0.38042554,0.012500000000000002
0.24224548,1700.0,-26.911001,340.0,0.008333333333333333,16,0.80918056,0.19509022,0.37996003,0.016666666666666666
0.24234255,1800.0,-25.886713,360.0,0.008333333333333333,17,0.8169629,0.194575,0.3799549,0.041666666666666664
0.2422596,1900.0,-24.433405,380.0,0.005,18,0.82457954,0.19431116,0.37981233,0.041666666666666664
0.24199219,2000.0,-24.195925,400.0,0.005833333333333334,19,0.831847,0.19402726,0.3797648,0.049999999999999996
0.2418455,2100.0,-27.448698,420.0,0.010833333333333334,20,0.8389942,0.19393314,0.37986866,0.020833333333333332
0.24168499,2200.0,-24.532137,440.0,0.01,21,0.84577316,0.19379084,0.37985173,0.0625
0.2412998,2300.0,-24.56331,460.0,0.011666666666666667,22,0.8520698,0.19360764,0.38004723,0.0375
0.2409773,2400.0,-24.73333,480.0,0.01,23,0.8580081,0.19320013,0.3803315,0.05416666666666667
0.24054973,2500.0,-26.20755,500.0,0.0175,24,0.86409956,0.19301964,0.3805647,0.020833333333333332
0.2402858,2600.0,-23.218023,520.0,0.010833333333333334,25,0.8700323,0.19273716,0.38048556,0.07916666666666666
0.23993976,2700.0,-24.429907,540.0,0.010833333333333334,26,0.8753589,0.19255061,0.38074645,0.05833333333333333
0.2395886,2800.0,-24.257792,560.0,0.010833333333333334,27,0.88081306,0.19221836,0.38071546,0.05416666666666667
0.23929544,2900.0,-23.774088,580.0,0.011666666666666667,28,0.8856581,0.19201101,0.38072738,0.03333333333333333
0.23891605,3000.0,-21.1358,600.0,0.0175,29,0.8908167,0.19178002,0.38098082,0.07916666666666668
0.23866303,3100.0,-26.760971,620.0,0.009166666666666667,30,0.8956081,0.1913557,0.3810962,0.08333333333333333
0.2385573,3200.0,-24.173807,640.0,0.01916666666666667,31,0.90020627,0.19097735,0.3810465,0.05000000000000001
0.23836918,3300.0,-25.034426,660.0,0.014166666666666666,32,0.90426034,0.19065738,0.38093755,0.05416666666666667
0.23812763,3400.0,-24.942747,680.0,0.018333333333333333,33,0.90823656,0.19049163,0.38087985,0.05000000000000001
0.2378463,3500.0,-24.206894,700.0,0.020833333333333332,34,0.9120455,0.19019537,0.3808579,0.05416666666666667
0.23757307,3600.0,-25.482874,720.0,0.025833333333333337,35,0.9156179,0.19008236,0.38095006,0.075
0.23741622,3700.0,-25.73731,740.0,0.013333333333333334,36,0.9186499,0.18992239,0.38120285,0.024999999999999998
0.23722307,3800.0,-20.301352,760.0,0.02,37,0.92171305,0.18986805,0.38138843,0.07916666666666666
0.23696913,3900.0,-22.86056,780.0,0.02,38,0.9245789,0.18975024,0.38159862,0.07083333333333335
0.23669727,4000.0,-22.72676,800.0,0.021666666666666667,39,0.92760897,0.18954758,0.38163772,0.049999999999999996
0.23650946,4100.0,-20.843552,820.0,0.025000000000000005,40,0.9304711,0.18933715,0.3816714,0.10833333333333332
0.23626505,4200.0,-21.560051,840.0,0.02,41,0.93305475,0.18917471,0.38180032,0.10000000000000002
0.23607202,4300.0,-25.6658,860.0,0.024999999999999998,42,0.9354741,0.18898733,0.3819892,0.07083333333333335
0.23593612,4400.0,-19.53736,880.0,0.02416666666666667,43,0.93776107,0.1888662,0.38208938,0.10833333333333335
0.23575519,4500.0,-22.287191,900.0,0.024166666666666666,44,0.94022006,0.188726,0.382257,0.10833333333333334
0.23565094,4600.0,-20.432625,920.0,0.022500000000000003,45,0.9424495,0.1886185,0.38241234,0.09583333333333334
0.23551393,4700.0,-22.08132,940.0,0.019166666666666665,46,0.9443393,0.18853341,0.38261196,0.06666666666666667
0.23535927,4800.0,-19.372713,960.0,0.02416666666666667,47,0.9463768,0.18838267,0.3827134,0.11666666666666665
0.23529156,4900.0,-20.99005,980.0,0.024999999999999998,48,0.9483769,0.1883527,0.38286772,0.06250000000000001
0.2351226,5000.0,-21.099188,1000.0,0.03666666666666667,49,0.9501588,0.18838005,0.3830304,0.07916666666666666
