test/episode,stats_o/mean,stats_o/std,stats_g/std,test/success_rate,stats_g/mean,epoch,train/episode,test/mean_Q,train/success_rate
20.0,0.19621818,0.7826733,0.2416829,0.0,0.37183753,0,100.0,-3.0398395,0.0
40.0,0.19991918,0.7745679,0.24130227,0.0,0.3738033,1,200.0,-5.428141,0.0
60.0,0.19969742,0.77032137,0.24195464,0.0,0.37847826,2,300.0,-7.2893734,0.0
80.0,0.19971912,0.767585,0.24149667,0.0,0.37871864,3,400.0,-9.17126,0.0
100.0,0.19972843,0.766558,0.2409811,0.0,0.37959108,4,500.0,-11.243152,0.0
120.0,0.19926888,0.76956636,0.24115573,0.0,0.3789309,5,600.0,-12.909443,0.0
140.0,0.19977959,0.7759641,0.24262734,0.0,0.37862667,6,700.0,-14.454333,0.0
160.0,0.20006345,0.7824196,0.24354117,0.0,0.3780911,7,800.0,-15.668416,0.0
180.0,0.19976167,0.79010135,0.2448787,0.0,0.37733364,8,900.0,-17.315605,0.0016666666666666668
200.0,0.19967608,0.7976238,0.2453046,0.004166666666666667,0.37653652,9,1000.0,-17.54483,0.0
220.0,0.19947594,0.80370635,0.24513467,0.004166666666666667,0.3767241,10,1100.0,-19.8972,0.0016666666666666668
240.0,0.19883658,0.8096717,0.24490142,0.008333333333333333,0.37715825,11,1200.0,-20.823858,0.0008333333333333334
260.0,0.198538,0.8160874,0.24453123,0.025000000000000005,0.37700748,12,1300.0,-21.746918,0.0025
280.0,0.19792409,0.8236328,0.24450417,0.029166666666666664,0.37696585,13,1400.0,-21.579233,0.005
300.0,0.19754378,0.8303568,0.24449493,0.041666666666666664,0.37677583,14,1500.0,-23.660238,0.005833333333333334
320.0,0.19699125,0.83796054,0.24434797,0.020833333333333332,0.37666968,15,1600.0,-22.48378,0.005
340.0,0.1965962,0.8452509,0.24453326,0.029166666666666664,0.3758426,16,1700.0,-24.582022,0.009166666666666665
360.0,0.19615711,0.8520589,0.24441572,0.029166666666666664,0.3756546,17,1800.0,-21.510172,0.005833333333333334
380.0,0.19597812,0.8589124,0.24424611,0.025000000000000005,0.37560225,18,1900.0,-23.682486,0.015
400.0,0.1957954,0.8644878,0.24411859,0.04583333333333334,0.37553826,19,2000.0,-23.884481,0.007500000000000001
420.0,0.19540457,0.8694686,0.24417223,0.03333333333333333,0.3757577,20,2100.0,-26.39016,0.015
440.0,0.19507448,0.8745596,0.24410637,0.05416666666666667,0.37593064,21,2200.0,-23.66954,0.015833333333333335
460.0,0.19476105,0.8795473,0.24392848,0.05000000000000001,0.3761034,22,2300.0,-25.75443,0.005
480.0,0.19449866,0.88460904,0.2438993,0.06666666666666667,0.3758687,23,2400.0,-23.792215,0.014166666666666666
500.0,0.19460239,0.88991874,0.24367498,0.05833333333333334,0.3757755,24,2500.0,-24.53656,0.015833333333333335
520.0,0.19459802,0.89473945,0.2435209,0.075,0.37557364,25,2600.0,-24.092909,0.013333333333333334
540.0,0.19440459,0.8992493,0.24334157,0.07083333333333335,0.3755951,26,2700.0,-21.911802,0.015
560.0,0.19420262,0.90402716,0.24320684,0.020833333333333332,0.37534198,27,2800.0,-24.25669,0.018333333333333337
580.0,0.19425343,0.9079678,0.24306516,0.06250000000000001,0.37517866,28,2900.0,-24.16435,0.013333333333333334
600.0,0.19428839,0.91210395,0.2428192,0.0625,0.37529305,29,3000.0,-22.909983,0.023333333333333334
620.0,0.19424336,0.9158097,0.24275684,0.08750000000000001,0.37528923,30,3100.0,-23.460505,0.008333333333333333
640.0,0.19423847,0.9193961,0.24267559,0.10000000000000002,0.3753477,31,3200.0,-22.175348,0.012499999999999999
660.0,0.19419943,0.9224827,0.24253611,0.07083333333333335,0.375379,32,3300.0,-22.283865,0.010833333333333334
680.0,0.19398658,0.92548925,0.24227686,0.05833333333333333,0.37530765,33,3400.0,-22.824059,0.0275
700.0,0.19372791,0.9284472,0.24214788,0.09166666666666667,0.3753995,34,3500.0,-20.442474,0.0175
720.0,0.1936766,0.93137723,0.24192803,0.10416666666666667,0.3755195,35,3600.0,-23.620453,0.020833333333333332
740.0,0.19352947,0.9340315,0.24189024,0.0625,0.37571335,36,3700.0,-27.511625,0.014166666666666668
760.0,0.19359119,0.93642586,0.24177504,0.08750000000000001,0.37571225,37,3800.0,-23.628763,0.018333333333333337
780.0,0.1935463,0.938718,0.24167486,0.06666666666666667,0.37573028,38,3900.0,-26.551065,0.023333333333333334
800.0,0.19347017,0.94097656,0.24162412,0.075,0.37562594,39,4000.0,-24.901573,0.014166666666666668
820.0,0.19326347,0.9432152,0.24156737,0.06666666666666667,0.3756763,40,4100.0,-24.154978,0.030000000000000002
840.0,0.19315346,0.9453833,0.24139194,0.06666666666666667,0.37577638,41,4200.0,-22.206255,0.02
860.0,0.19327052,0.9472775,0.24126168,0.08749999999999998,0.37584075,42,4300.0,-23.835342,0.025000000000000005
880.0,0.19333903,0.9493955,0.24116804,0.09583333333333333,0.37573132,43,4400.0,-22.501524,0.022500000000000003
900.0,0.19349356,0.9517071,0.24100624,0.125,0.37586823,44,4500.0,-23.123594,0.0275
920.0,0.19345105,0.9537046,0.24092285,0.07083333333333335,0.3758879,45,4600.0,-19.990969,0.0175
940.0,0.19354004,0.9554407,0.24078776,0.075,0.37594476,46,4700.0,-19.787464,0.023333333333333334
960.0,0.19352739,0.95697874,0.24065809,0.13749999999999998,0.37598863,47,4800.0,-20.095009,0.02416666666666667
980.0,0.19345386,0.9584182,0.24054642,0.10416666666666667,0.37605572,48,4900.0,-21.174189,0.020833333333333332
1000.0,0.19333707,0.959991,0.24040471,0.15,0.37619105,49,5000.0,-18.708559,0.021666666666666667
