test/mean_Q,test/success_rate,epoch,test/episode,train/episode,stats_g/std,stats_g/mean,stats_o/std,train/success_rate,stats_o/mean
-3.071707,0.0,0,20.0,100.0,0.24265178,0.37197503,0.7879433,0.0,0.19598855
-5.300607,0.0,1,40.0,200.0,0.2418335,0.3734564,0.7815564,0.0,0.19830185
-7.296842,0.0,2,60.0,300.0,0.240914,0.37579873,0.774368,0.0,0.19840728
-9.181499,0.0,3,80.0,400.0,0.24001594,0.37506083,0.77281314,0.0,0.19817646
-11.362735,0.0,4,100.0,500.0,0.2403443,0.3761048,0.7747435,0.0,0.1982764
-12.513316,0.0,5,120.0,600.0,0.24141358,0.37458682,0.7794115,0.0,0.1979828
-13.653587,0.0,6,140.0,700.0,0.24261351,0.37351194,0.7866049,0.0008333333333333334,0.19794929
-15.796116,0.0,7,160.0,800.0,0.24338882,0.3733336,0.7919921,0.0,0.19818008
-17.042566,0.0,8,180.0,900.0,0.24450837,0.37243795,0.79737735,0.0008333333333333334,0.19829579
-17.723284,0.004166666666666667,9,200.0,1000.0,0.2447537,0.37235996,0.8016395,0.0,0.19843952
-19.645908,0.008333333333333333,10,220.0,1100.0,0.2451771,0.37282047,0.8068559,0.005,0.19818021
-20.912437,0.016666666666666666,11,240.0,1200.0,0.24536203,0.37339708,0.81202817,0.004166666666666667,0.19815965
-21.558737,0.016666666666666666,12,260.0,1300.0,0.2455826,0.37298283,0.8173332,0.0025,0.19788639
-23.37708,0.012500000000000002,13,280.0,1400.0,0.24577658,0.37293044,0.82194924,0.004166666666666667,0.19740914
-23.866661,0.02916666666666667,14,300.0,1500.0,0.24600911,0.3724421,0.82777506,0.005,0.19692366
-23.757996,0.008333333333333333,15,320.0,1600.0,0.24589603,0.37209424,0.8335419,0.005833333333333334,0.19696832
-26.481077,0.016666666666666666,16,340.0,1700.0,0.24594198,0.3718725,0.8394528,0.005833333333333334,0.19665118
-23.584982,0.05416666666666666,17,360.0,1800.0,0.24596862,0.37194553,0.8461302,0.005833333333333333,0.1962548
-23.924057,0.05416666666666667,18,380.0,1900.0,0.24598706,0.37180987,0.8525196,0.009166666666666667,0.19602709
-27.079947,0.02916666666666667,19,400.0,2000.0,0.24588935,0.37163243,0.85817313,0.012500000000000002,0.19597848
-25.382128,0.04583333333333334,20,420.0,2100.0,0.24579732,0.3714775,0.8634979,0.011666666666666667,0.1955813
-25.284264,0.054166666666666675,21,440.0,2200.0,0.24563687,0.37140432,0.86942154,0.010833333333333334,0.19540761
-25.141668,0.1125,22,460.0,2300.0,0.24548002,0.37192774,0.87524754,0.014166666666666666,0.19516373
-26.788673,0.024999999999999998,23,480.0,2400.0,0.24524747,0.37199292,0.8802448,0.011666666666666667,0.19499712
-28.270582,0.05833333333333334,24,500.0,2500.0,0.24506779,0.37182865,0.88566035,0.021666666666666667,0.1952002
-25.995413,0.049999999999999996,25,520.0,2600.0,0.24489586,0.37147757,0.89057714,0.016666666666666666,0.1953296
-24.117819,0.05833333333333334,26,540.0,2700.0,0.24480386,0.37118563,0.8949743,0.015833333333333335,0.19508861
-23.056929,0.04583333333333334,27,560.0,2800.0,0.24456906,0.37097564,0.8990701,0.016666666666666666,0.1948424
-24.342987,0.05833333333333333,28,580.0,2900.0,0.24437714,0.3709229,0.90298605,0.012500000000000002,0.19474463
-24.849487,0.0375,29,600.0,3000.0,0.24421676,0.3708993,0.9071352,0.01916666666666667,0.1947887
-25.0187,0.07916666666666668,30,620.0,3100.0,0.24410026,0.37072515,0.9111479,0.01,0.19451116
-24.09333,0.049999999999999996,31,640.0,3200.0,0.24397303,0.3705615,0.9148206,0.012499999999999999,0.19414265
-25.38478,0.06666666666666667,32,660.0,3300.0,0.24393582,0.37034127,0.9178178,0.01,0.19391833
-24.118355,0.06666666666666667,33,680.0,3400.0,0.24379075,0.37020501,0.92088836,0.01916666666666667,0.19365145
-23.210693,0.06250000000000001,34,700.0,3500.0,0.24357952,0.37022528,0.92373174,0.015833333333333335,0.19360356
-26.254105,0.05416666666666667,35,720.0,3600.0,0.24334069,0.37024245,0.9266278,0.015833333333333335,0.19353057
-21.84249,0.09583333333333333,36,740.0,3700.0,0.24316402,0.37060007,0.929339,0.020833333333333332,0.19360848
-21.420944,0.09999999999999999,37,760.0,3800.0,0.24295892,0.3707057,0.9318798,0.0325,0.19367766
-23.32934,0.075,38,780.0,3900.0,0.24283326,0.37079525,0.9341219,0.021666666666666667,0.19363904
-24.465311,0.10000000000000002,39,800.0,4000.0,0.2426535,0.37083697,0.93647414,0.016666666666666666,0.19358832
-22.379929,0.10833333333333334,40,820.0,4100.0,0.24252291,0.370819,0.9386807,0.029166666666666664,0.19348805
-23.755783,0.08333333333333333,41,840.0,4200.0,0.24232595,0.37086996,0.94079417,0.020833333333333332,0.19339198
-22.83985,0.07916666666666668,42,860.0,4300.0,0.24212535,0.37105426,0.9428095,0.02416666666666667,0.19341671
-20.824257,0.13333333333333333,43,880.0,4400.0,0.24198388,0.37110487,0.94458985,0.022500000000000003,0.19340175
-23.507082,0.09583333333333333,44,900.0,4500.0,0.24174833,0.37130007,0.9464407,0.025833333333333333,0.19349779
-22.089865,0.125,45,920.0,4600.0,0.24162519,0.37145743,0.94813126,0.0275,0.19344674
-22.742247,0.075,46,940.0,4700.0,0.24147801,0.371527,0.9498556,0.02666666666666667,0.19355042
-20.909685,0.09166666666666667,47,960.0,4800.0,0.24136569,0.3716258,0.9516843,0.03166666666666667,0.19356968
-24.156618,0.08333333333333333,48,980.0,4900.0,0.24131636,0.3718234,0.953445,0.030833333333333334,0.1934578
-23.402819,0.09999999999999999,49,1000.0,5000.0,0.24117078,0.3719252,0.9549468,0.015833333333333335,0.19335546
