test/episode,stats_o/mean,stats_o/std,stats_g/mean,train/success_rate,test/mean_Q,stats_g/std,train/episode,test/success_rate,epoch
20.0,0.19711709,0.7990708,0.36874816,0.0,-2.6975489,0.24257226,100.0,0.0,0
40.0,0.20143186,0.7934458,0.3712745,0.0,-5.089806,0.2419625,200.0,0.0,1
60.0,0.20029664,0.7882242,0.3752961,0.0,-7.116238,0.24153747,300.0,0.0,2
80.0,0.19879906,0.78695965,0.37642267,0.0,-9.217913,0.24108966,400.0,0.0,3
100.0,0.19797607,0.79061013,0.37851122,0.0,-10.874866,0.24136944,500.0,0.0,4
120.0,0.19725223,0.7949133,0.37703076,0.0,-11.760371,0.24213155,600.0,0.0,5
140.0,0.19767152,0.8007808,0.37617478,0.0,-14.117055,0.2431518,700.0,0.0,6
160.0,0.1974086,0.8066625,0.37522116,0.0,-15.066749,0.24388988,800.0,0.008333333333333333,7
180.0,0.19761463,0.8117364,0.37429914,0.0008333333333333334,-16.283806,0.24450739,900.0,0.004166666666666667,8
200.0,0.19772188,0.81797165,0.3733829,0.0,-17.187956,0.24509867,1000.0,0.0,9
220.0,0.19795378,0.8256173,0.37309894,0.0025,-18.91161,0.24565773,1100.0,0.008333333333333333,10
240.0,0.19834678,0.8333885,0.37334833,0.0008333333333333334,-20.014896,0.24610709,1200.0,0.008333333333333333,11
260.0,0.19841443,0.8399709,0.37314126,0.0033333333333333335,-21.126509,0.24645448,1300.0,0.012500000000000002,12
280.0,0.198335,0.8459921,0.3731576,0.0033333333333333335,-20.224596,0.24666734,1400.0,0.020833333333333332,13
300.0,0.19783272,0.8511773,0.3729554,0.005833333333333334,-21.42987,0.24675788,1500.0,0.029166666666666664,14
320.0,0.19731176,0.85640866,0.37327734,0.009166666666666668,-21.838247,0.24626313,1600.0,0.03333333333333333,15
340.0,0.1968594,0.8620841,0.3730034,0.010833333333333334,-23.28155,0.246228,1700.0,0.037500000000000006,16
360.0,0.19640167,0.86762285,0.37269655,0.008333333333333333,-22.417404,0.24626707,1800.0,0.04583333333333334,17
380.0,0.19605923,0.8732485,0.37260517,0.006666666666666667,-24.01204,0.24621226,1900.0,0.041666666666666664,18
400.0,0.19586588,0.8780513,0.37244132,0.010833333333333334,-24.957102,0.24601667,2000.0,0.025000000000000005,19
420.0,0.19578378,0.88312215,0.37255147,0.016666666666666666,-26.249023,0.24567144,2100.0,0.0375,20
440.0,0.19587658,0.8871462,0.37243745,0.005833333333333333,-22.486197,0.24544008,2200.0,0.03333333333333333,21
460.0,0.19606471,0.8916953,0.37231323,0.0075,-22.257881,0.245201,2300.0,0.06666666666666667,22
480.0,0.19583379,0.89615774,0.37234607,0.018333333333333337,-26.740484,0.24498327,2400.0,0.037500000000000006,23
