test/episode,train/success_rate,test/mean_Q,stats_o/mean,train/episode,stats_g/std,test/success_rate,epoch,stats_o/std,stats_g/mean
20.0,0.0,-2.7441442,0.18538997,100.0,0.10694214,0.0,0,0.7346996,0.31878
40.0,0.0,-4.565295,0.19174458,200.0,0.10679887,0.0,1,0.7367082,0.32122087
60.0,0.0,-5.7940598,0.19316354,300.0,0.1070111,0.0,2,0.7369739,0.3227652
80.0,0.0,-7.7468657,0.19389576,400.0,0.10628005,0.0,3,0.74474746,0.32142133
100.0,0.01,-9.590371,0.19539647,500.0,0.10705732,0.0,4,0.75439817,0.32075295
120.0,0.0,-11.252645,0.19315636,600.0,0.10751365,0.0,5,0.7622668,0.31976414
140.0,0.0,-13.036825,0.19253984,700.0,0.10825726,0.0,6,0.7686603,0.31895706
160.0,0.0,-13.6784115,0.19249748,800.0,0.10859726,0.0,7,0.77517414,0.31831226
180.0,0.0,-14.715071,0.19287883,900.0,0.10908852,0.05,8,0.7788415,0.31840357
200.0,0.0,-15.619307,0.19197918,1000.0,0.10956278,0.0,9,0.78481334,0.3183226
220.0,0.0,-16.551403,0.19253966,1100.0,0.10992491,0.0,10,0.7918016,0.31871048
240.0,0.0,-16.357443,0.19378513,1200.0,0.11027496,0.05,11,0.7976581,0.31885976
260.0,0.0,-17.99436,0.19256935,1300.0,0.11129131,0.1,12,0.80420464,0.3186667
280.0,0.0,-20.33671,0.19245698,1400.0,0.11290598,0.0,13,0.81197786,0.31917623
300.0,0.0,-17.270237,0.19222327,1500.0,0.11710184,0.0,14,0.81885904,0.3195235
320.0,0.0,-16.581097,0.19133873,1600.0,0.119793184,0.0,15,0.8249957,0.31965813
340.0,0.0,-17.91106,0.19081602,1700.0,0.12217677,0.05,16,0.83124804,0.31989005
360.0,0.0,-19.446928,0.19130383,1800.0,0.12347102,0.0,17,0.8376497,0.3205692
380.0,0.0,-18.48013,0.19210416,1900.0,0.12458063,0.0,18,0.8427369,0.32082492
400.0,0.0,-20.27556,0.19214883,2000.0,0.12541111,0.0,19,0.84688866,0.32105514
420.0,0.0,-20.998745,0.19235054,2100.0,0.12704337,0.0,20,0.8491953,0.32132524
440.0,0.01,-19.006474,0.19258063,2200.0,0.12933546,0.0,21,0.85293585,0.32126632
460.0,0.01,-18.353949,0.1928705,2300.0,0.13034597,0.0,22,0.8559409,0.32156247
480.0,0.0,-18.383053,0.19251284,2400.0,0.13170007,0.05,23,0.85947776,0.3217995
500.0,0.0,-18.845257,0.19220152,2500.0,0.13252722,0.05,24,0.86260915,0.32219434
520.0,0.0,-21.646435,0.1922253,2600.0,0.13390993,0.05,25,0.865467,0.3226356
540.0,0.01,-22.738596,0.19247015,2700.0,0.13461371,0.05,26,0.86729443,0.32289505
560.0,0.02,-17.527075,0.19234605,2800.0,0.13575609,0.05,27,0.8697632,0.32300523
580.0,0.01,-20.720661,0.19251849,2900.0,0.13689229,0.0,28,0.87270063,0.32326147
600.0,0.0,-19.49104,0.19241038,3000.0,0.1377501,0.0,29,0.87531775,0.32352
620.0,0.01,-21.363453,0.1929391,3100.0,0.13814346,0.15,30,0.87774277,0.3239141
640.0,0.0,-19.875732,0.19317716,3200.0,0.13872303,0.0,31,0.87956774,0.32416806
660.0,0.01,-24.546383,0.19380169,3300.0,0.13998958,0.0,32,0.8820244,0.32445833
680.0,0.01,-17.315506,0.19367534,3400.0,0.14046542,0.05,33,0.8840061,0.32472253
700.0,0.01,-21.31705,0.19339807,3500.0,0.14093092,0.0,34,0.8860529,0.32514653
720.0,0.0,-23.766949,0.19381928,3600.0,0.1415265,0.0,35,0.88783437,0.32531282
740.0,0.01,-24.258764,0.1936567,3700.0,0.14189671,0.0,36,0.88937587,0.32528946
760.0,0.02,-21.836689,0.19335751,3800.0,0.14253098,0.05,37,0.8914417,0.32553932
780.0,0.0,-20.03398,0.19318815,3900.0,0.14310594,0.0,38,0.89305073,0.32572752
800.0,0.0,-19.47081,0.19350544,4000.0,0.14419086,0.1,39,0.89500064,0.32595772
820.0,0.01,-23.100843,0.19351073,4100.0,0.1448321,0.0,40,0.89625806,0.32603732
840.0,0.0,-20.456337,0.1939213,4200.0,0.145462,0.1,41,0.89743364,0.32618
860.0,0.02,-21.695093,0.19408667,4300.0,0.1458366,0.1,42,0.89885503,0.32643604
880.0,0.0,-23.44223,0.19395334,4400.0,0.14618638,0.0,43,0.90059286,0.32660627
900.0,0.0,-21.044092,0.19389404,4500.0,0.14642432,0.1,44,0.9024191,0.32693344
920.0,0.0,-22.222548,0.19413534,4600.0,0.14700602,0.1,45,0.90342057,0.32754657
940.0,0.01,-19.41776,0.1940393,4700.0,0.14763255,0.05,46,0.90502703,0.32810006
960.0,0.01,-25.423006,0.19388497,4800.0,0.14831601,0.0,47,0.9057019,0.328515
980.0,0.0,-24.369257,0.19408758,4900.0,0.14912152,0.0,48,0.90717113,0.3289063
1000.0,0.01,-21.489927,0.19398968,5000.0,0.14956398,0.15,49,0.90794104,0.32897997
