train/success_rate,epoch,stats_o/mean,test/mean_Q,stats_o/std,test/episode,test/success_rate,stats_g/mean,stats_g/std,train/episode
0.001,0,0.19663855,-3.1331196,0.7261317,20.0,0.0,0.32591087,0.10407539,100.0
0.002,1,0.19695443,-5.0820723,0.7207281,40.0,0.01,0.33220285,0.10338845,200.0
0.002,2,0.19468266,-7.1085043,0.7204331,60.0,0.005,0.32924384,0.104470946,300.0
0.003,3,0.19321698,-8.897867,0.7209476,80.0,0.005,0.32683104,0.10487231,400.0
0.003,4,0.1933091,-11.112948,0.72209966,100.0,0.005,0.32614702,0.10504651,500.0
0.002,5,0.19348809,-13.013995,0.7228111,120.0,0.005,0.32641345,0.10548659,600.0
0.005,6,0.19364901,-14.80911,0.7250226,140.0,0.005,0.32650343,0.10604185,700.0
0.002,7,0.19305405,-15.706569,0.7316505,160.0,0.02,0.32599312,0.10792913,800.0
0.001,8,0.1931018,-17.232433,0.7359947,180.0,0.025,0.32534957,0.109037615,900.0
0.004,9,0.19389859,-17.671982,0.7420126,200.0,0.015000000000000003,0.3259216,0.111544326,1000.0
0.002,10,0.19474277,-19.123062,0.74742603,220.0,0.015000000000000003,0.32633013,0.11387841,1100.0
0.001,11,0.19485444,-20.240452,0.75375915,240.0,0.015000000000000003,0.3269307,0.115911566,1200.0
0.006,12,0.19524828,-19.727222,0.7581068,260.0,0.05,0.3276525,0.11768367,1300.0
0.011000000000000001,13,0.19559161,-20.492737,0.76365316,280.0,0.08,0.32870135,0.1199908,1400.0
0.01,14,0.1961616,-20.531591,0.7697493,300.0,0.06999999999999999,0.3298057,0.12247989,1500.0
0.015000000000000003,15,0.19643624,-21.11367,0.7754065,320.0,0.085,0.33054957,0.12487294,1600.0
0.01,16,0.19704351,-22.123198,0.7811676,340.0,0.04,0.3306489,0.12664148,1700.0
0.009,17,0.19733492,-23.383402,0.7860899,360.0,0.045000000000000005,0.3310427,0.12858538,1800.0
0.009,18,0.19802302,-23.88971,0.7912944,380.0,0.015000000000000003,0.3317565,0.13062254,1900.0
0.007000000000000001,19,0.19848001,-23.350216,0.7959207,400.0,0.025,0.33207598,0.13186267,2000.0
0.005,20,0.19884741,-24.977175,0.8004816,420.0,0.045000000000000005,0.33247167,0.13322136,2100.0
0.01,21,0.19928852,-22.868607,0.80512065,440.0,0.1,0.3330802,0.13445714,2200.0
0.009,22,0.19947079,-24.302862,0.80968934,460.0,0.075,0.33377758,0.13648593,2300.0
0.009,23,0.19978389,-22.77386,0.81392175,480.0,0.14,0.3343523,0.13798642,2400.0
0.005,24,0.20002326,-23.616964,0.8177463,500.0,0.135,0.33496156,0.13956597,2500.0
0.008,25,0.20021197,-24.550776,0.82180434,520.0,0.12000000000000002,0.33532935,0.14115497,2600.0
0.009000000000000001,26,0.20023887,-25.541157,0.82513064,540.0,0.1,0.33572072,0.14280136,2700.0
0.014000000000000002,27,0.20002136,-25.116152,0.8280754,560.0,0.08,0.33598223,0.14396486,2800.0
0.016,28,0.20002039,-27.197504,0.8313368,580.0,0.045,0.3362469,0.14496568,2900.0
0.012,29,0.20001717,-26.180485,0.8346861,600.0,0.1,0.33651215,0.1462872,3000.0
0.013000000000000001,30,0.19969018,-25.309658,0.83720887,620.0,0.12999999999999998,0.33680898,0.14724891,3100.0
0.011,31,0.19931765,-27.849222,0.8397509,640.0,0.065,0.33725017,0.1482267,3200.0
0.008,32,0.19901386,-25.99816,0.8423378,660.0,0.075,0.33774248,0.14899924,3300.0
0.013000000000000001,33,0.19883704,-21.043074,0.84514534,680.0,0.21500000000000002,0.33832985,0.14957508,3400.0
0.006,34,0.19877157,-26.019358,0.84725416,700.0,0.12500000000000003,0.3386756,0.15024343,3500.0
0.008,35,0.1987075,-28.241486,0.84963304,720.0,0.15499999999999997,0.33915368,0.15096438,3600.0
0.009,36,0.19895177,-29.8298,0.8512627,740.0,0.09,0.33946028,0.15141506,3700.0
0.009000000000000001,37,0.19905631,-29.81693,0.85324895,760.0,0.08,0.33990994,0.15190692,3800.0
0.01,38,0.19904706,-27.881744,0.8552898,780.0,0.10500000000000001,0.34032598,0.1524343,3900.0
0.01,39,0.19896583,-27.734766,0.85765284,800.0,0.125,0.34070763,0.15302917,4000.0
0.008,40,0.19888037,-24.196728,0.8595146,820.0,0.175,0.34096247,0.15349512,4100.0
0.006,41,0.19894427,-25.229757,0.8617301,840.0,0.18,0.34127074,0.15396662,4200.0
0.014000000000000002,42,0.19913954,-27.801172,0.8635746,860.0,0.135,0.34154144,0.15441051,4300.0
0.008,43,0.19924876,-29.629627,0.8652426,880.0,0.125,0.34180513,0.1547592,4400.0
0.008,44,0.19932513,-22.843296,0.8671524,900.0,0.275,0.34206057,0.15512688,4500.0
0.009,45,0.19933522,-25.881567,0.868766,920.0,0.185,0.34232026,0.15540257,4600.0
0.008,46,0.1994836,-26.447113,0.8705265,940.0,0.185,0.34264356,0.15569432,4700.0
0.009,47,0.199562,-27.449656,0.87218034,960.0,0.15,0.34297425,0.15600137,4800.0
0.011000000000000001,48,0.19946083,-25.16748,0.87410337,980.0,0.22000000000000003,0.34320378,0.15622029,4900.0
0.009,49,0.19923607,-26.60825,0.87593424,1000.0,0.17500000000000002,0.34343737,0.15661058,5000.0
