epoch,stats_o/mean,test/mean_Q,stats_o/std,test/success_rate,train/episode,stats_g/std,test/episode,train/success_rate,stats_g/mean
0,0.1943856,-2.7638497,0.7474381,0.0,100.0,0.16299915,20.0,0.0,0.32522964
1,0.19720216,-4.448058,0.74091285,0.0,200.0,0.16093235,40.0,0.0,0.32911745
2,0.19786629,-6.3682404,0.73877037,0.0,300.0,0.16041018,60.0,0.0,0.3312447
3,0.19623907,-8.168856,0.73976636,0.0,400.0,0.16123852,80.0,0.0,0.33352825
4,0.1963768,-10.06179,0.7399279,0.0,500.0,0.16001384,100.0,0.0,0.33488283
5,0.19583456,-11.680463,0.7416689,0.0,600.0,0.1603262,120.0,0.0,0.3356687
6,0.19590484,-13.837465,0.7437498,0.0,700.0,0.160148,140.0,0.0,0.33571795
7,0.19607946,-15.232099,0.74572283,0.0,800.0,0.16073953,160.0,0.0,0.335324
8,0.19591117,-15.991382,0.74807036,0.0,900.0,0.16070214,180.0,0.0,0.33577338
9,0.19640881,-17.997826,0.75203407,0.0,1000.0,0.16088735,200.0,0.01,0.33579057
10,0.19507433,-19.658615,0.75716686,0.0,1100.0,0.16135971,220.0,0.0,0.33504465
11,0.19487244,-19.622715,0.7631417,0.0,1200.0,0.16136181,240.0,0.0,0.3347501
12,0.19484273,-21.769993,0.7685722,0.0,1300.0,0.16158982,260.0,0.0,0.33463892
13,0.19536896,-22.61413,0.7732859,0.0,1400.0,0.16198556,280.0,0.0,0.3348165
14,0.1955748,-21.643318,0.7774621,0.0,1500.0,0.16230299,300.0,0.01,0.33539274
15,0.19514601,-23.12473,0.7828642,0.0,1600.0,0.16322328,320.0,0.01,0.3361256
16,0.19467321,-23.822086,0.7882597,0.05,1700.0,0.16397218,340.0,0.0,0.3360351
17,0.194766,-25.320934,0.7941407,0.0,1800.0,0.16500391,360.0,0.0,0.33574435
18,0.19525136,-26.689508,0.7995149,0.0,1900.0,0.16556536,380.0,0.0,0.33526635
19,0.19469963,-25.954859,0.8048742,0.0,2000.0,0.16625354,400.0,0.01,0.33545735
20,0.19489194,-26.777935,0.8106603,0.0,2100.0,0.16669627,420.0,0.0,0.3353839
21,0.19500786,-23.461113,0.81490475,0.05,2200.0,0.16710797,440.0,0.01,0.33565125
22,0.1953142,-27.101965,0.8180684,0.05,2300.0,0.16746715,460.0,0.01,0.33613807
23,0.19535571,-25.933472,0.82119644,0.1,2400.0,0.16779451,480.0,0.0,0.33674613
24,0.19499744,-23.989693,0.8239283,0.05,2500.0,0.16838695,500.0,0.0,0.3366883
25,0.1950476,-29.53535,0.82773346,0.0,2600.0,0.16883914,520.0,0.0,0.33623204
26,0.1948939,-29.440872,0.8308676,0.05,2700.0,0.16945384,540.0,0.01,0.3363683
27,0.19486655,-26.889725,0.8333267,0.05,2800.0,0.16965917,560.0,0.0,0.33658347
28,0.19518277,-31.448298,0.8359417,0.0,2900.0,0.16976902,580.0,0.01,0.33690158
29,0.19504453,-26.445206,0.8380935,0.0,3000.0,0.1699865,600.0,0.02,0.3372529
30,0.1952413,-29.424078,0.84007764,0.0,3100.0,0.1701232,620.0,0.01,0.3373618
31,0.19522403,-29.086786,0.8411954,0.05,3200.0,0.17059179,640.0,0.0,0.33752498
32,0.19493394,-33.07594,0.8434433,0.0,3300.0,0.17077586,660.0,0.01,0.33751136
33,0.19479567,-27.638805,0.8454163,0.0,3400.0,0.1713704,680.0,0.02,0.33759364
34,0.19457851,-25.73852,0.84812963,0.1,3500.0,0.17196223,700.0,0.0,0.33755508
35,0.19452925,-32.51063,0.8508261,0.0,3600.0,0.17247951,720.0,0.02,0.3376066
36,0.19466399,-34.872032,0.8531453,0.0,3700.0,0.17338228,740.0,0.0,0.33811086
37,0.19512293,-28.209164,0.8555609,0.0,3800.0,0.1745344,760.0,0.01,0.33880082
38,0.19523613,-28.534952,0.85799253,0.0,3900.0,0.17549641,780.0,0.02,0.3392103
39,0.19539513,-31.724878,0.85992837,0.05,4000.0,0.17672859,800.0,0.0,0.33929467
40,0.19575702,-30.711191,0.86214197,0.0,4100.0,0.17735378,820.0,0.0,0.33941475
41,0.19613789,-30.811367,0.86389554,0.05,4200.0,0.17772596,840.0,0.0,0.33948967
42,0.19645663,-30.247082,0.8655798,0.1,4300.0,0.17840265,860.0,0.0,0.3398853
43,0.1966782,-31.843235,0.8672447,0.0,4400.0,0.17885599,880.0,0.0,0.340175
44,0.19649954,-27.035257,0.8694596,0.1,4500.0,0.1793081,900.0,0.01,0.34033722
45,0.19672917,-29.49682,0.8710685,0.05,4600.0,0.17966835,920.0,0.02,0.34068248
46,0.19684745,-28.390482,0.87283903,0.0,4700.0,0.18016693,940.0,0.0,0.3408908
47,0.19703351,-31.501373,0.8742806,0.05,4800.0,0.18065643,960.0,0.0,0.34128624
48,0.19693524,-28.392014,0.8760285,0.15,4900.0,0.181229,980.0,0.0,0.34146538
49,0.19688316,-29.282902,0.87723285,0.05,5000.0,0.18139963,1000.0,0.01,0.34155172
