stats_g/std,train/episode,test/episode,test/mean_Q,stats_o/std,train/success_rate,test/success_rate,stats_o/mean,stats_g/mean,epoch
0.16299915,100.0,20.0,-2.7638497,0.7474381,0.0,0.0,0.1943856,0.32522964,0
0.16093235,200.0,40.0,-4.448058,0.74091285,0.0,0.0,0.19720216,0.32911745,1
0.16041018,300.0,60.0,-6.3682404,0.73877037,0.0,0.0,0.19786629,0.3312447,2
0.16123852,400.0,80.0,-8.168856,0.73976636,0.0,0.0,0.19623907,0.33352825,3
0.16001384,500.0,100.0,-10.06179,0.7399279,0.0,0.0,0.1963768,0.33488283,4
0.1603262,600.0,120.0,-11.680463,0.7416689,0.0,0.0,0.19583456,0.3356687,5
0.160148,700.0,140.0,-13.837465,0.7437498,0.0,0.0,0.19590484,0.33571795,6
0.16073953,800.0,160.0,-15.232099,0.74572283,0.0,0.0,0.19607946,0.335324,7
0.16070214,900.0,180.0,-15.991382,0.74807036,0.0,0.0,0.19591117,0.33577338,8
0.16088735,1000.0,200.0,-17.997826,0.75203407,0.01,0.0,0.19640881,0.33579057,9
0.16135971,1100.0,220.0,-19.658615,0.75716686,0.0,0.0,0.19507433,0.33504465,10
0.16136181,1200.0,240.0,-19.622715,0.7631417,0.0,0.0,0.19487244,0.3347501,11
0.16158982,1300.0,260.0,-21.769993,0.7685722,0.0,0.0,0.19484273,0.33463892,12
0.16198556,1400.0,280.0,-22.61413,0.7732859,0.0,0.0,0.19536896,0.3348165,13
0.16230299,1500.0,300.0,-21.643318,0.7774621,0.01,0.0,0.1955748,0.33539274,14
0.16322328,1600.0,320.0,-23.12473,0.7828642,0.01,0.0,0.19514601,0.3361256,15
0.16397218,1700.0,340.0,-23.822086,0.7882597,0.0,0.05,0.19467321,0.3360351,16
0.16500391,1800.0,360.0,-25.320934,0.7941407,0.0,0.0,0.194766,0.33574435,17
0.16556536,1900.0,380.0,-26.689508,0.7995149,0.0,0.0,0.19525136,0.33526635,18
0.16625354,2000.0,400.0,-25.954859,0.8048742,0.01,0.0,0.19469963,0.33545735,19
0.16669627,2100.0,420.0,-26.777935,0.8106603,0.0,0.0,0.19489194,0.3353839,20
0.16710797,2200.0,440.0,-23.461113,0.81490475,0.01,0.05,0.19500786,0.33565125,21
0.16746715,2300.0,460.0,-27.101965,0.8180684,0.01,0.05,0.1953142,0.33613807,22
0.16779451,2400.0,480.0,-25.933472,0.82119644,0.0,0.1,0.19535571,0.33674613,23
0.16838695,2500.0,500.0,-23.989693,0.8239283,0.0,0.05,0.19499744,0.3366883,24
0.16883914,2600.0,520.0,-29.53535,0.82773346,0.0,0.0,0.1950476,0.33623204,25
0.16945384,2700.0,540.0,-29.440872,0.8308676,0.01,0.05,0.1948939,0.3363683,26
0.16965917,2800.0,560.0,-26.889725,0.8333267,0.0,0.05,0.19486655,0.33658347,27
0.16976902,2900.0,580.0,-31.448298,0.8359417,0.01,0.0,0.19518277,0.33690158,28
0.1699865,3000.0,600.0,-26.445206,0.8380935,0.02,0.0,0.19504453,0.3372529,29
0.1701232,3100.0,620.0,-29.424078,0.84007764,0.01,0.0,0.1952413,0.3373618,30
0.17059179,3200.0,640.0,-29.086786,0.8411954,0.0,0.05,0.19522403,0.33752498,31
0.17077586,3300.0,660.0,-33.07594,0.8434433,0.01,0.0,0.19493394,0.33751136,32
0.1713704,3400.0,680.0,-27.638805,0.8454163,0.02,0.0,0.19479567,0.33759364,33
0.17196223,3500.0,700.0,-25.73852,0.84812963,0.0,0.1,0.19457851,0.33755508,34
0.17247951,3600.0,720.0,-32.51063,0.8508261,0.02,0.0,0.19452925,0.3376066,35
0.17338228,3700.0,740.0,-34.872032,0.8531453,0.0,0.0,0.19466399,0.33811086,36
0.1745344,3800.0,760.0,-28.209164,0.8555609,0.01,0.0,0.19512293,0.33880082,37
0.17549641,3900.0,780.0,-28.534952,0.85799253,0.02,0.0,0.19523613,0.3392103,38
0.17672859,4000.0,800.0,-31.724878,0.85992837,0.0,0.05,0.19539513,0.33929467,39
0.17735378,4100.0,820.0,-30.711191,0.86214197,0.0,0.0,0.19575702,0.33941475,40
0.17772596,4200.0,840.0,-30.811367,0.86389554,0.0,0.05,0.19613789,0.33948967,41
0.17840265,4300.0,860.0,-30.247082,0.8655798,0.0,0.1,0.19645663,0.3398853,42
0.17885599,4400.0,880.0,-31.843235,0.8672447,0.0,0.0,0.1966782,0.340175,43
0.1793081,4500.0,900.0,-27.035257,0.8694596,0.01,0.1,0.19649954,0.34033722,44
0.17966835,4600.0,920.0,-29.49682,0.8710685,0.02,0.05,0.19672917,0.34068248,45
0.18016693,4700.0,940.0,-28.390482,0.87283903,0.0,0.0,0.19684745,0.3408908,46
0.18065643,4800.0,960.0,-31.501373,0.8742806,0.0,0.05,0.19703351,0.34128624,47
0.181229,4900.0,980.0,-28.392014,0.8760285,0.0,0.15,0.19693524,0.34146538,48
0.18139963,5000.0,1000.0,-29.282902,0.87723285,0.01,0.05,0.19688316,0.34155172,49
