stats_o/std,train/success_rate,stats_g/mean,test/episode,stats_o/mean,epoch,stats_g/std,test/success_rate,train/episode,test/mean_Q
0.6922046,0.0,0.6728045,20.0,0.30694425,0,0.019444585,0.0,100.0,-2.789928
0.7357866,0.0,0.6742509,40.0,0.30547562,1,0.019208562,0.0,200.0,-2.119048
0.77043176,0.0,0.6741972,60.0,0.302813,2,0.018739318,0.075,300.0,-1.8474518
0.78602856,0.003,0.67418015,80.0,0.30280218,3,0.01842019,0.13999999999999999,400.0,-2.007764
0.79449296,0.01,0.67427576,100.0,0.3022893,4,0.01816914,0.21000000000000002,500.0,-2.3161802
0.7993892,0.003,0.6743914,120.0,0.30241174,5,0.017964114,0.165,600.0,-2.6575432
0.8010246,0.004,0.6745236,140.0,0.30224434,6,0.017779535,0.325,700.0,-2.9874582
0.8008598,0.012,0.67463315,160.0,0.30292648,7,0.017669078,0.145,800.0,-4.284941
0.80025655,0.006,0.6747614,180.0,0.30348077,8,0.017622035,0.2,900.0,-3.8641677
0.7998804,0.005,0.6748818,200.0,0.30388007,9,0.01758894,0.185,1000.0,-4.1674104
0.8000144,0.006,0.67492557,220.0,0.30396992,10,0.01752991,0.375,1100.0,-5.176477
0.7998184,0.009,0.6749147,240.0,0.30391872,11,0.017415663,0.25,1200.0,-5.5834823
0.7991293,0.014000000000000002,0.67488563,260.0,0.303821,12,0.017334666,0.5349999999999999,1300.0,-6.1626225
0.7987416,0.016,0.67490184,280.0,0.30361897,13,0.017301193,0.52,1400.0,-5.2117457
0.79871494,0.01,0.67491066,300.0,0.30355468,14,0.017260497,0.55,1500.0,-7.181395
0.79794264,0.013000000000000001,0.6749009,320.0,0.30313665,15,0.017229706,0.67,1600.0,-7.98046
0.7973777,0.009,0.6748507,340.0,0.3026134,16,0.0171608,0.6050000000000001,1700.0,-7.571042
0.7963621,0.01,0.6748371,360.0,0.3022418,17,0.01711062,0.4600000000000001,1800.0,-9.270334
0.79543054,0.015000000000000003,0.67479306,380.0,0.30198708,18,0.017063413,0.725,1900.0,-8.092968
0.79505384,0.009,0.674775,400.0,0.3017934,19,0.017038617,0.6700000000000002,2000.0,-9.19005
0.79446673,0.012,0.674801,420.0,0.3016156,20,0.01702666,0.71,2100.0,-9.590879
0.79410446,0.016,0.6748229,440.0,0.30154696,21,0.017035177,0.6449999999999999,2200.0,-9.744157
0.79369,0.014000000000000002,0.67483354,460.0,0.30141497,22,0.017036626,0.74,2300.0,-8.630152
0.7934886,0.012,0.6748148,480.0,0.30130544,23,0.017039154,0.54,2400.0,-11.297485
0.7931342,0.011,0.6747986,500.0,0.30111256,24,0.01701808,0.7949999999999999,2500.0,-7.364774
0.7929486,0.013000000000000001,0.67482305,520.0,0.30099922,25,0.017021112,0.555,2600.0,-10.083018
0.7926776,0.015,0.6748656,540.0,0.30101943,26,0.017060228,0.6699999999999999,2700.0,-9.527021
0.79265356,0.01,0.6749147,560.0,0.3009893,27,0.017103994,0.595,2800.0,-12.666066
0.792225,0.012,0.6749623,580.0,0.30098534,28,0.017137736,0.71,2900.0,-12.002777
0.79183257,0.01,0.6749838,600.0,0.3009413,29,0.017147351,0.7300000000000001,3000.0,-11.212891
0.79156744,0.015,0.6750056,620.0,0.30094472,30,0.017153364,0.735,3100.0,-10.193197
0.7912686,0.018,0.675019,640.0,0.3008663,31,0.017162483,0.665,3200.0,-12.1855755
0.7909428,0.011,0.6750415,660.0,0.3008595,32,0.017168853,0.695,3300.0,-12.373528
0.7909416,0.007000000000000001,0.67507017,680.0,0.30079207,33,0.017174358,0.73,3400.0,-11.703974
0.7908085,0.012,0.6750939,700.0,0.30074945,34,0.017187735,0.6849999999999999,3500.0,-11.915974
0.79056895,0.009000000000000001,0.675125,720.0,0.3007416,35,0.01720031,0.6300000000000001,3600.0,-14.564525
0.79044455,0.006,0.6751646,740.0,0.30079794,36,0.017212518,0.7150000000000001,3700.0,-13.734573
0.79013956,0.012,0.6751912,760.0,0.30073738,37,0.017227028,0.6549999999999999,3800.0,-12.993622
0.7900264,0.016,0.6752099,780.0,0.3006763,38,0.01723507,0.72,3900.0,-13.5582
0.78989875,0.016999999999999998,0.675218,800.0,0.30070788,39,0.017244687,0.62,4000.0,-14.970355
0.7897309,0.01,0.67522746,820.0,0.30077758,40,0.017245585,0.6799999999999999,4100.0,-12.9847975
0.7895595,0.012,0.67523944,840.0,0.30077296,41,0.017252425,0.64,4200.0,-16.009617
0.7895092,0.01,0.6752561,860.0,0.30080333,42,0.017260233,0.745,4300.0,-12.4942875
0.78942764,0.018,0.6752738,880.0,0.3008114,43,0.017261947,0.5900000000000001,4400.0,-15.367543
0.7892896,0.009,0.67528415,900.0,0.3008371,44,0.01726092,0.58,4500.0,-14.760147
0.7891288,0.007000000000000001,0.6752955,920.0,0.300847,45,0.017266791,0.7150000000000001,4600.0,-13.861399
0.7890023,0.009000000000000001,0.6753185,940.0,0.3008679,46,0.017273955,0.6900000000000001,4700.0,-14.609302
0.7889597,0.006,0.67532986,960.0,0.300865,47,0.017277956,0.7150000000000001,4800.0,-13.963602
0.7888006,0.01,0.67533076,980.0,0.30087242,48,0.0172748,0.7050000000000001,4900.0,-13.284622
0.78865695,0.007000000000000001,0.6753337,1000.0,0.30087298,49,0.017269123,0.7050000000000001,5000.0,-15.297427
