test/mean_Q,train/episode,test/success_rate,stats_o/mean,stats_g/std,stats_g/mean,train/success_rate,test/episode,epoch,stats_o/std
-2.8250468,100.0,0.0,0.3217479,0.018667428,0.67350453,0.0,20.0,0,0.6911266
-3.253924,200.0,0.0,0.31284946,0.018067736,0.67479956,0.0,40.0,1,0.7055092
-3.6004345,300.0,0.0,0.3058243,0.018071502,0.6744474,0.0,60.0,2,0.75490886
-3.5273845,400.0,0.0,0.3038309,0.017996894,0.67414397,0.0,80.0,3,0.77893263
-4.0811605,500.0,0.0,0.30127546,0.018083965,0.67407113,0.0,100.0,4,0.79320955
-3.360169,600.0,0.0,0.30112818,0.018031806,0.67392445,0.0,120.0,5,0.80718243
-3.2153938,700.0,0.0,0.30218756,0.018200016,0.67394644,0.0,140.0,6,0.8186753
-4.065339,800.0,0.0,0.3011052,0.018189965,0.67383474,0.0,160.0,7,0.82548183
-4.0752935,900.0,0.0,0.30076623,0.01827136,0.6739859,0.01,180.0,8,0.8307891
-4.488474,1000.0,0.05,0.30206123,0.018187923,0.6740217,0.0,200.0,9,0.835736
-4.4072866,1100.0,0.15,0.30329302,0.018088883,0.674128,0.0,220.0,10,0.83775115
-3.2098687,1200.0,0.15,0.30430993,0.018079469,0.6741359,0.0,240.0,11,0.83821464
-5.818036,1300.0,0.1,0.30430955,0.018023727,0.6740545,0.0,260.0,12,0.8389591
-4.38978,1400.0,0.1,0.30422953,0.018021993,0.6739751,0.01,280.0,13,0.83945835
-6.272319,1500.0,0.05,0.30426574,0.018006684,0.6740008,0.01,300.0,14,0.84035903
-5.804207,1600.0,0.0,0.30489814,0.018016744,0.6741364,0.0,320.0,15,0.8410614
-6.9278517,1700.0,0.05,0.3053596,0.018023236,0.6742933,0.0,340.0,16,0.8417642
-8.181729,1800.0,0.05,0.3051772,0.017998012,0.67436916,0.0,360.0,17,0.84259003
-8.816292,1900.0,0.15,0.3051471,0.017958721,0.6744164,0.0,380.0,18,0.8429883
-5.3686695,2000.0,0.05,0.30514947,0.017939512,0.6745016,0.0,400.0,19,0.84378004
-6.9909463,2100.0,0.2,0.30497786,0.017918944,0.67452526,0.0,420.0,20,0.8440184
-5.922759,2200.0,0.05,0.30485597,0.017915849,0.6745299,0.01,440.0,21,0.8442353
-7.3768096,2300.0,0.15,0.30491206,0.017867722,0.67448974,0.0,460.0,22,0.84441817
-11.80987,2400.0,0.05,0.30475834,0.01785201,0.6744931,0.0,480.0,23,0.84501034
-5.7685537,2500.0,0.05,0.3048608,0.01787183,0.6744676,0.0,500.0,24,0.84531355
-8.26341,2600.0,0.2,0.3051267,0.017909203,0.6744937,0.01,520.0,25,0.8456756
-6.597509,2700.0,0.25,0.30501437,0.01792937,0.6744585,0.0,540.0,26,0.84591776
-6.4300804,2800.0,0.1,0.30488795,0.017904418,0.6744271,0.01,560.0,27,0.8460882
-9.452173,2900.0,0.05,0.3051766,0.017900595,0.6743866,0.0,580.0,28,0.84591305
-7.1957145,3000.0,0.1,0.30559698,0.0178841,0.6743825,0.0,600.0,29,0.8462579
-8.473564,3100.0,0.25,0.30573362,0.017868431,0.6743478,0.0,620.0,30,0.8463278
-5.384258,3200.0,0.15,0.30601072,0.017856833,0.67435354,0.0,640.0,31,0.84637284
-11.181534,3300.0,0.1,0.30625147,0.01786613,0.6743572,0.01,660.0,32,0.8458618
-10.268438,3400.0,0.1,0.30655983,0.017851131,0.67434007,0.0,680.0,33,0.8454643
-10.258613,3500.0,0.2,0.3065986,0.017867213,0.67432886,0.03,700.0,34,0.84577674
-7.896344,3600.0,0.2,0.30668125,0.017868884,0.67436343,0.01,720.0,35,0.84594196
-8.9037695,3700.0,0.15,0.30682826,0.017894655,0.67433393,0.0,740.0,36,0.846031
-12.782591,3800.0,0.1,0.30678332,0.017908359,0.67432296,0.0,760.0,37,0.84586287
-10.377053,3900.0,0.1,0.30669075,0.017902058,0.67430764,0.0,780.0,38,0.845894
-11.413612,4000.0,0.1,0.30671057,0.01790956,0.6743017,0.0,800.0,39,0.8453958
-7.402092,4100.0,0.2,0.306714,0.01795118,0.6742775,0.0,820.0,40,0.8455252
-10.629011,4200.0,0.0,0.30652592,0.017969765,0.6742677,0.01,840.0,41,0.84546566
-5.5829105,4300.0,0.1,0.3065766,0.017989065,0.674312,0.0,860.0,42,0.8452434
-14.579992,4400.0,0.1,0.30652982,0.017989803,0.6743428,0.01,880.0,43,0.8453184
-7.071378,4500.0,0.1,0.30652162,0.017998219,0.6743619,0.0,900.0,44,0.8449882
-10.70692,4600.0,0.0,0.30652982,0.018003842,0.67437685,0.0,920.0,45,0.84454817
-11.337053,4700.0,0.1,0.30655912,0.018030625,0.67439455,0.0,940.0,46,0.8438918
-11.79655,4800.0,0.1,0.30641946,0.018049296,0.6744156,0.02,960.0,47,0.84358126
-8.105095,4900.0,0.0,0.30637404,0.018085744,0.67442447,0.0,980.0,48,0.84335625
-9.410072,5000.0,0.05,0.30639505,0.018141773,0.67443043,0.0,1000.0,49,0.84325457
