epoch,stats_g/std,stats_o/mean,test/mean_Q,train/episode,test/success_rate,test/episode,stats_g/mean,train/success_rate,stats_o/std
0,0.019046042,0.30991006,-2.446558,100.0,0.0,20.0,0.6724971,0.0,0.706813
1,0.019371875,0.3071056,-2.4850678,200.0,0.0,40.0,0.67454445,0.0,0.7504107
2,0.018997323,0.30639857,-2.188768,300.0,0.0,60.0,0.6746906,0.0,0.7793367
3,0.018690413,0.3068493,-2.9943967,400.0,0.0,80.0,0.6746624,0.002,0.7940342
4,0.018464882,0.30766976,-3.1455135,500.0,0.15,100.0,0.6748115,0.005,0.8022417
5,0.018452665,0.30843106,-3.397585,600.0,0.11500000000000002,120.0,0.6749856,0.005,0.8089798
6,0.018262599,0.30883032,-3.742022,700.0,0.2,140.0,0.6749667,0.005,0.81279516
7,0.01811194,0.30927572,-5.156232,800.0,0.195,160.0,0.67498815,0.006,0.8132057
8,0.018027494,0.30954444,-4.455649,900.0,0.185,180.0,0.6750393,0.006,0.81346416
9,0.017960599,0.30962998,-4.581128,1000.0,0.09000000000000001,200.0,0.6750729,0.01,0.81362915
10,0.017905682,0.30966097,-5.5229826,1100.0,0.12000000000000002,220.0,0.6751262,0.004,0.8134912
11,0.01786686,0.3096117,-5.4335346,1200.0,0.1,240.0,0.6751501,0.012,0.8133276
12,0.017855579,0.30971083,-5.990133,1300.0,0.27999999999999997,260.0,0.6751932,0.005,0.81277925
13,0.017852705,0.30973047,-4.935382,1400.0,0.33,280.0,0.6752571,0.006,0.8123458
14,0.01783219,0.30973196,-6.7647414,1500.0,0.255,300.0,0.6752986,0.009000000000000001,0.81208265
15,0.017799255,0.30983764,-7.334111,1600.0,0.22999999999999998,320.0,0.6752986,0.011000000000000001,0.81166804
16,0.01777359,0.30995208,-7.0213294,1700.0,0.41500000000000004,340.0,0.6752833,0.007000000000000001,0.81131345
17,0.017768886,0.3101162,-8.629865,1800.0,0.39,360.0,0.6752926,0.009,0.8111266
18,0.017789613,0.3103345,-7.222722,1900.0,0.49499999999999994,380.0,0.67531264,0.007000000000000001,0.8111739
19,0.017804485,0.31050754,-8.50647,2000.0,0.41500000000000004,400.0,0.67531073,0.014000000000000002,0.81121767
20,0.017783564,0.31059068,-8.962689,2100.0,0.375,420.0,0.67531264,0.012,0.8108761
21,0.017758973,0.31057018,-8.957021,2200.0,0.4,440.0,0.6753098,0.012,0.8105677
22,0.01773884,0.31054336,-7.8613524,2300.0,0.485,460.0,0.67530644,0.014000000000000002,0.81021565
23,0.01771314,0.31047863,-10.382485,2400.0,0.5650000000000001,480.0,0.6753051,0.018,0.8101738
24,0.017693454,0.31034222,-6.5740914,2500.0,0.7050000000000001,500.0,0.6753057,0.014000000000000002,0.8099572
25,0.017668119,0.31030256,-9.3285055,2600.0,0.575,520.0,0.67528856,0.011,0.8096148
26,0.017644634,0.3101627,-8.920512,2700.0,0.72,540.0,0.6752809,0.011,0.8093295
27,0.01763093,0.31004488,-11.766255,2800.0,0.45500000000000007,560.0,0.6752737,0.018,0.8093007
28,0.017617349,0.30999565,-11.117389,2900.0,0.6,580.0,0.6752784,0.014000000000000002,0.80894977
29,0.017603908,0.30999598,-10.361181,3000.0,0.5650000000000001,600.0,0.67527366,0.013000000000000001,0.80856884
30,0.01759615,0.30996257,-9.467162,3100.0,0.655,620.0,0.6752709,0.006999999999999999,0.8083603
31,0.01759265,0.30989566,-11.5301075,3200.0,0.62,640.0,0.6752794,0.016,0.8083197
32,0.017582979,0.3098846,-11.616719,3300.0,0.62,660.0,0.6752746,0.01,0.808046
33,0.017570863,0.30982834,-11.146794,3400.0,0.5,680.0,0.67526186,0.011000000000000001,0.80791223
34,0.01756851,0.309774,-11.283148,3500.0,0.605,700.0,0.6752628,0.013000000000000001,0.80782044
35,0.017569015,0.30972725,-14.182963,3600.0,0.575,720.0,0.67525876,0.01,0.80746937
36,0.017566884,0.30970109,-13.161308,3700.0,0.5900000000000001,740.0,0.67525387,0.01,0.8072346
37,0.017563364,0.30962816,-12.382299,3800.0,0.525,760.0,0.675247,0.013000000000000001,0.80702245
38,0.017566819,0.30956593,-12.971349,3900.0,0.5800000000000001,780.0,0.675247,0.009,0.8069785
39,0.017567497,0.3094903,-14.2091675,4000.0,0.54,800.0,0.6752428,0.011,0.80686647
40,0.017563768,0.30945253,-12.297045,4100.0,0.6799999999999999,820.0,0.67523766,0.013000000000000001,0.8066201
41,0.017553842,0.30944455,-15.347403,4200.0,0.605,840.0,0.67522776,0.014000000000000002,0.8064458
42,0.017547786,0.30941623,-12.047304,4300.0,0.665,860.0,0.6752325,0.005,0.8061539
43,0.017534634,0.30931693,-14.9804945,4400.0,0.64,880.0,0.6752337,0.013000000000000001,0.80592316
44,0.017529842,0.30923444,-14.319626,4500.0,0.5900000000000001,900.0,0.6752366,0.012,0.8055641
45,0.017523922,0.30919725,-13.272433,4600.0,0.62,920.0,0.6752366,0.012,0.80532724
46,0.017523054,0.30916935,-14.53723,4700.0,0.63,940.0,0.6752421,0.012,0.8051114
47,0.017516281,0.3091238,-13.417928,4800.0,0.615,960.0,0.67523134,0.011,0.80491763
48,0.017517563,0.30910653,-13.318636,4900.0,0.6699999999999999,980.0,0.67522895,0.01,0.80473626
49,0.017516691,0.30907542,-15.533442,5000.0,0.5700000000000001,1000.0,0.6752278,0.013000000000000001,0.8045372
