stats_g/mean,train/episode,test/episode,test/mean_Q,epoch,stats_o/mean,stats_o/std,train/success_rate,stats_g/std,test/success_rate
0.67421025,100.0,20.0,-2.779821,0,0.31632054,0.70160234,0.0,0.019273039,0.0
0.67376995,200.0,40.0,-1.9715096,1,0.30499753,0.73424864,0.0,0.018492403,0.0
0.6735179,300.0,60.0,-2.1937888,2,0.29827884,0.7752922,0.0,0.018492935,0.0
0.6737805,400.0,80.0,-2.4704738,3,0.29928696,0.79334825,0.0,0.018370258,0.0
0.67389286,500.0,100.0,-2.7547126,4,0.30016884,0.8065663,0.0,0.018310118,0.1
0.6739778,600.0,120.0,-2.6263137,5,0.2995115,0.81429666,0.0,0.018293984,0.1
0.674357,700.0,140.0,-2.371219,6,0.30127233,0.8186209,0.0,0.018680848,0.1
0.6737409,800.0,160.0,-3.2733464,7,0.3023595,0.8230284,0.0,0.019126454,0.0
0.6737524,900.0,180.0,-4.097689,8,0.3026745,0.82501274,0.0,0.01912133,0.0
0.6734919,1000.0,200.0,-4.0243287,9,0.30239722,0.8244799,0.0,0.019289017,0.05
0.673385,1100.0,220.0,-2.9321852,10,0.30146965,0.8265299,0.0,0.01925016,0.0
0.67326516,1200.0,240.0,-2.139405,11,0.300913,0.827377,0.01,0.019099465,0.15
0.6731936,1300.0,260.0,-3.3167949,12,0.3003835,0.8264832,0.01,0.018974287,0.15
0.6731571,1400.0,280.0,-2.1325078,13,0.29966283,0.82605207,0.02,0.018860517,0.1
0.6732932,1500.0,300.0,-5.0721755,14,0.29986674,0.82653105,0.0,0.018742811,0.05
0.67336637,1600.0,320.0,-2.7326572,15,0.29892159,0.8264739,0.01,0.018713411,0.15
0.6733501,1700.0,340.0,-3.7673676,16,0.29828107,0.8260105,0.0,0.018582944,0.05
0.673384,1800.0,360.0,-5.8748794,17,0.2979001,0.8242809,0.01,0.018516572,0.05
0.67348033,1900.0,380.0,-7.51431,18,0.29823226,0.8236191,0.0,0.018455824,0.15
0.67352736,2000.0,400.0,-5.1292343,19,0.2979018,0.82315314,0.0,0.01845287,0.05
0.6737408,2100.0,420.0,-4.7770767,20,0.2976037,0.823966,0.0,0.01872459,0.2
0.6736794,2200.0,440.0,-3.6801612,21,0.29734623,0.8247545,0.0,0.018685045,0.05
0.673701,2300.0,460.0,-6.7992043,22,0.29752067,0.82489747,0.0,0.018712554,0.1
0.6737664,2400.0,480.0,-10.155802,23,0.29735106,0.82506543,0.0,0.018699795,0.05
0.67378014,2500.0,500.0,-3.6538215,24,0.29701477,0.8250279,0.0,0.018663527,0.1
0.6738197,2600.0,520.0,-7.0982575,25,0.29677483,0.82460207,0.0,0.018650748,0.1
0.6738703,2700.0,540.0,-6.8236594,26,0.29670042,0.8242242,0.0,0.018648382,0.25
0.6738655,2800.0,560.0,-6.0774617,27,0.296709,0.823976,0.0,0.018600868,0.15
0.6739022,2900.0,580.0,-8.448231,28,0.29687798,0.82415396,0.0,0.018586172,0.1
0.67394227,3000.0,600.0,-5.0226517,29,0.2970412,0.82396555,0.01,0.01856873,0.1
0.67388237,3100.0,620.0,-9.154192,30,0.2971141,0.8234071,0.0,0.018552434,0.15
0.673858,3200.0,640.0,-4.3143015,31,0.2972493,0.82356435,0.02,0.018508537,0.15
0.67383325,3300.0,660.0,-10.90727,32,0.2973487,0.8231163,0.02,0.018460257,0.1
0.6738116,3400.0,680.0,-9.042378,33,0.2975577,0.82248765,0.0,0.018412197,0.25
0.67380756,3500.0,700.0,-11.273317,34,0.29754525,0.82252353,0.01,0.018388245,0.15
0.6738022,3600.0,720.0,-7.4241843,35,0.29770258,0.822192,0.0,0.018370472,0.2
0.67381793,3700.0,740.0,-9.501584,36,0.29785573,0.8218368,0.0,0.018327303,0.15
0.6739328,3800.0,760.0,-12.71135,37,0.2979958,0.8219744,0.0,0.018403258,0.1
0.67400527,3900.0,780.0,-10.15435,38,0.29816893,0.821665,0.0,0.018492738,0.1
0.67420936,4000.0,800.0,-12.094365,39,0.2986632,0.8219187,0.03,0.018759985,0.1
0.67436224,4100.0,820.0,-7.031053,40,0.2989876,0.82187045,0.01,0.018902011,0.2
0.6744231,4200.0,840.0,-11.192993,41,0.29913667,0.82145476,0.0,0.018963275,0.0
0.67439693,4300.0,860.0,-5.4379206,42,0.29959014,0.82159275,0.0,0.019077377,0.1
0.67438227,4400.0,880.0,-14.859442,43,0.29950958,0.8215844,0.0,0.019058831,0.1
0.6743811,4500.0,900.0,-5.924157,44,0.29949787,0.82165277,0.0,0.01904079,0.15
0.67440134,4600.0,920.0,-9.628291,45,0.2993586,0.8215495,0.01,0.01906165,0.0
0.67441565,4700.0,940.0,-11.904111,46,0.2992346,0.8212169,0.01,0.019056907,0.15
0.67443377,4800.0,960.0,-12.621243,47,0.29926038,0.82080775,0.01,0.019026894,0.25
0.6744273,4900.0,980.0,-9.796079,48,0.299289,0.82032144,0.0,0.018995358,0.1
0.6744276,5000.0,1000.0,-10.628295,49,0.29932165,0.8197719,0.0,0.018969228,0.05
