test/success_rate,train/episode,test/mean_Q,train/success_rate,stats_g/std,stats_o/mean,test/episode,stats_o/std,epoch,stats_g/mean
0.0,100.0,-2.779821,0.0,0.019273039,0.31632054,20.0,0.70160234,0,0.67421025
0.0,200.0,-1.9715096,0.0,0.018492403,0.30499753,40.0,0.73424864,1,0.67376995
0.0,300.0,-2.1937888,0.0,0.018492935,0.29827884,60.0,0.7752922,2,0.6735179
0.0,400.0,-2.4704738,0.0,0.018370258,0.29928696,80.0,0.79334825,3,0.6737805
0.1,500.0,-2.7547126,0.0,0.018310118,0.30016884,100.0,0.8065663,4,0.67389286
0.1,600.0,-2.6263137,0.0,0.018293984,0.2995115,120.0,0.81429666,5,0.6739778
0.1,700.0,-2.371219,0.0,0.018680848,0.30127233,140.0,0.8186209,6,0.674357
0.0,800.0,-3.2733464,0.0,0.019126454,0.3023595,160.0,0.8230284,7,0.6737409
0.0,900.0,-4.097689,0.0,0.01912133,0.3026745,180.0,0.82501274,8,0.6737524
0.05,1000.0,-4.0243287,0.0,0.019289017,0.30239722,200.0,0.8244799,9,0.6734919
0.0,1100.0,-2.9321852,0.0,0.01925016,0.30146965,220.0,0.8265299,10,0.673385
0.15,1200.0,-2.139405,0.01,0.019099465,0.300913,240.0,0.827377,11,0.67326516
0.15,1300.0,-3.3167949,0.01,0.018974287,0.3003835,260.0,0.8264832,12,0.6731936
0.1,1400.0,-2.1325078,0.02,0.018860517,0.29966283,280.0,0.82605207,13,0.6731571
0.05,1500.0,-5.0721755,0.0,0.018742811,0.29986674,300.0,0.82653105,14,0.6732932
0.15,1600.0,-2.7326572,0.01,0.018713411,0.29892159,320.0,0.8264739,15,0.67336637
0.05,1700.0,-3.7673676,0.0,0.018582944,0.29828107,340.0,0.8260105,16,0.6733501
0.05,1800.0,-5.8748794,0.01,0.018516572,0.2979001,360.0,0.8242809,17,0.673384
0.15,1900.0,-7.51431,0.0,0.018455824,0.29823226,380.0,0.8236191,18,0.67348033
0.05,2000.0,-5.1292343,0.0,0.01845287,0.2979018,400.0,0.82315314,19,0.67352736
0.2,2100.0,-5.1297026,0.01,0.018642375,0.29780707,420.0,0.82335407,20,0.6736857
0.05,2200.0,-4.3593836,0.01,0.018673126,0.29772058,440.0,0.8243357,21,0.6736557
0.1,2300.0,-7.0157137,0.0,0.018658908,0.29781544,460.0,0.82402116,22,0.67361236
0.05,2400.0,-10.2524185,0.0,0.018630732,0.29799256,480.0,0.82389504,23,0.6736574
0.0,2500.0,-3.6902268,0.01,0.018619895,0.29766428,500.0,0.8233234,24,0.67367613
0.1,2600.0,-6.8268204,0.0,0.018596424,0.2978358,520.0,0.8232361,25,0.6737296
0.25,2700.0,-6.8979163,0.01,0.018629853,0.2980098,540.0,0.8232614,26,0.6737804
0.1,2800.0,-6.1533217,0.0,0.018611722,0.2982465,560.0,0.82387495,27,0.6737808
0.05,2900.0,-8.503844,0.0,0.018566964,0.2987427,580.0,0.82385325,28,0.67378217
0.1,3000.0,-5.128783,0.0,0.018530238,0.2988859,600.0,0.82374436,29,0.6738092
0.1,3100.0,-9.570307,0.0,0.018530874,0.29883143,620.0,0.8233518,30,0.67379415
0.15,3200.0,-4.598762,0.01,0.018518819,0.29880834,640.0,0.8224959,31,0.67380613
0.1,3300.0,-11.270918,0.01,0.018544199,0.29875976,660.0,0.8218699,32,0.6738212
0.1,3400.0,-9.238538,0.0,0.01857776,0.2988361,680.0,0.82143134,33,0.6738134
0.1,3500.0,-11.324726,0.01,0.018660994,0.29874855,700.0,0.8213543,34,0.67382187
0.2,3600.0,-6.928341,0.0,0.018779177,0.29883137,720.0,0.8209299,35,0.6738531
0.25,3700.0,-8.861781,0.0,0.018886605,0.29892236,740.0,0.8211307,36,0.6739218
0.1,3800.0,-11.990457,0.01,0.018928224,0.2989725,760.0,0.8213913,37,0.67400897
0.1,3900.0,-9.955355,0.0,0.018963635,0.29896748,780.0,0.8215915,38,0.67400944
0.1,4000.0,-11.974411,0.0,0.019024896,0.29910773,800.0,0.82160324,39,0.67400485
0.0,4100.0,-6.3665376,0.0,0.019039165,0.2994581,820.0,0.82182366,40,0.67404354
0.05,4200.0,-10.037428,0.0,0.019122984,0.2993823,840.0,0.822272,41,0.6739976
0.05,4300.0,-3.8790565,0.0,0.01928628,0.2990255,860.0,0.8232123,42,0.6740539
0.1,4400.0,-11.641035,0.0,0.019273844,0.2989147,880.0,0.8234281,43,0.6740857
0.1,4500.0,-3.9459434,0.01,0.019252965,0.29867417,900.0,0.823792,44,0.6740822
0.0,4600.0,-7.366212,0.0,0.01923129,0.29846776,920.0,0.82376313,45,0.67407095
0.15,4700.0,-7.9450636,0.0,0.01921511,0.29821086,940.0,0.8235192,46,0.6740715
0.1,4800.0,-8.10177,0.01,0.019198155,0.29815617,960.0,0.8231273,47,0.6740397
0.15,4900.0,-6.2671523,0.0,0.019228052,0.29818162,980.0,0.82305104,48,0.67401606
0.1,5000.0,-6.379663,0.0,0.019339036,0.29802525,1000.0,0.822983,49,0.67395294
