stats_g/mean,train/success_rate,test/episode,stats_o/std,stats_o/mean,test/success_rate,epoch,stats_g/std,test/mean_Q,train/episode
0.6728045,0.0,20.0,0.6922046,0.30694425,0.0,0,0.019444585,-2.789928,100.0
0.6742509,0.0,40.0,0.7357866,0.30547562,0.0,1,0.019208562,-2.119048,200.0
0.6741972,0.0,60.0,0.77043176,0.302813,0.075,2,0.018739318,-1.8474518,300.0
0.67418015,0.003,80.0,0.78602856,0.30280218,0.13999999999999999,3,0.01842019,-2.007764,400.0
0.67427576,0.01,100.0,0.79449296,0.3022893,0.21000000000000002,4,0.01816914,-2.3161802,500.0
0.6743914,0.003,120.0,0.7993892,0.30241174,0.165,5,0.017964114,-2.6575432,600.0
0.6745236,0.004,140.0,0.8010246,0.30224434,0.325,6,0.017779535,-2.9874582,700.0
0.67463315,0.012,160.0,0.8008598,0.30292648,0.145,7,0.017669078,-4.284941,800.0
0.6747614,0.006,180.0,0.80025655,0.30348077,0.2,8,0.017622035,-3.8641677,900.0
0.6748818,0.005,200.0,0.7998804,0.30388007,0.185,9,0.01758894,-4.1674104,1000.0
0.67492557,0.006,220.0,0.8000144,0.30396992,0.375,10,0.01752991,-5.176477,1100.0
0.6749147,0.009,240.0,0.7998184,0.30391872,0.25,11,0.017415663,-5.5834823,1200.0
0.67488563,0.014000000000000002,260.0,0.7991293,0.303821,0.5349999999999999,12,0.017334666,-6.1626225,1300.0
0.67490184,0.016,280.0,0.7987416,0.30361897,0.52,13,0.017301193,-5.2117457,1400.0
0.67491066,0.01,300.0,0.79871494,0.30355468,0.55,14,0.017260497,-7.181395,1500.0
0.6749009,0.013000000000000001,320.0,0.79794264,0.30313665,0.67,15,0.017229706,-7.98046,1600.0
0.6748507,0.009,340.0,0.7973777,0.3026134,0.6050000000000001,16,0.0171608,-7.571042,1700.0
0.6748371,0.01,360.0,0.7963621,0.3022418,0.4600000000000001,17,0.01711062,-9.270334,1800.0
0.67479306,0.015000000000000003,380.0,0.79543054,0.30198708,0.725,18,0.017063413,-8.092968,1900.0
0.674775,0.009,400.0,0.79505384,0.3017934,0.6700000000000002,19,0.017038617,-9.19005,2000.0
0.674801,0.012,420.0,0.79446673,0.3016156,0.71,20,0.01702666,-9.590879,2100.0
0.6748229,0.016,440.0,0.79410446,0.30154696,0.6449999999999999,21,0.017035177,-9.744157,2200.0
0.67483354,0.014000000000000002,460.0,0.79369,0.30141497,0.74,22,0.017036626,-8.630152,2300.0
0.6748148,0.012,480.0,0.7934886,0.30130544,0.54,23,0.017039154,-11.297485,2400.0
0.6747986,0.011,500.0,0.7931342,0.30111256,0.7949999999999999,24,0.01701808,-7.364774,2500.0
0.67482305,0.013000000000000001,520.0,0.7929486,0.30099922,0.555,25,0.017021112,-10.083018,2600.0
0.6748656,0.015,540.0,0.7926776,0.30101943,0.6699999999999999,26,0.017060228,-9.527021,2700.0
0.6749147,0.01,560.0,0.79265356,0.3009893,0.595,27,0.017103994,-12.666066,2800.0
