stats_g/mean,stats_g/std,test/episode,test/mean_Q,train/episode,stats_o/std,stats_o/mean,train/success_rate,test/success_rate,epoch
0.86454886,0.08719262,20.0,-0.36119062,100.0,0.030580044,0.25971547,0.702,0.9649999999999999,0
0.8677316,0.08575525,40.0,-0.07833539,200.0,0.030837143,0.26052862,0.7859999999999999,1.0,1
0.8699482,0.08526281,60.0,-0.07016734,300.0,0.030936906,0.26114792,0.7510000000000001,1.0,2
0.8704608,0.085136116,80.0,-0.08361442,400.0,0.031027725,0.2612937,0.764,1.0,3
0.87129,0.08491673,100.0,-0.085971594,500.0,0.03102396,0.26153952,0.7459999999999999,1.0,4
0.8716938,0.08508948,120.0,-0.037723936,600.0,0.03111454,0.2616569,0.724,1.0,5
0.8720419,0.08512638,140.0,-0.04226639,700.0,0.031148857,0.26175404,0.7530000000000001,1.0,6
0.8726947,0.08513489,160.0,-0.052727807,800.0,0.031165725,0.26193738,0.776,1.0,7
0.8729684,0.08516099,180.0,-0.05387665,900.0,0.031180095,0.2620048,0.768,1.0,8
0.87344444,0.08522008,200.0,-0.050875437,1000.0,0.031215876,0.26213747,0.7420000000000001,1.0,9
0.87377965,0.0852677,220.0,-0.046550732,1100.0,0.031239564,0.26223534,0.751,1.0,10
0.87405044,0.08521289,240.0,-0.056352388,1200.0,0.03123284,0.2623111,0.786,1.0,11
0.8742054,0.08528541,260.0,-0.043560702,1300.0,0.031255253,0.26235595,0.7510000000000001,1.0,12
0.8743005,0.08524098,280.0,-0.065834664,1400.0,0.03123548,0.2623754,0.754,1.0,13
0.8744316,0.08522759,300.0,-0.05189581,1500.0,0.031232929,0.2624182,0.7470000000000001,1.0,14
0.8746726,0.08520967,320.0,-0.072544895,1600.0,0.031230494,0.26248246,0.7639999999999999,1.0,15
0.8748085,0.08529621,340.0,-0.05362487,1700.0,0.031256385,0.26252067,0.773,1.0,16
0.8748503,0.0852669,360.0,-0.056517392,1800.0,0.031248435,0.26253408,0.7649999999999999,1.0,17
0.8749714,0.08525853,380.0,-0.070862904,1900.0,0.031247115,0.26256776,0.733,1.0,18
0.87505597,0.085305,400.0,-0.05762117,2000.0,0.031261183,0.26259023,0.7649999999999999,1.0,19
0.87507325,0.085330725,420.0,-0.05133797,2100.0,0.031267714,0.26259646,0.749,1.0,20
0.87495744,0.08526643,440.0,-0.047066636,2200.0,0.031255286,0.2625628,0.738,1.0,21
0.8749797,0.0852807,460.0,-0.056536168,2300.0,0.031259097,0.26256686,0.7779999999999999,1.0,22
