stats_o/std,test/episode,stats_o/mean,test/mean_Q,stats_g/mean,stats_g/std,epoch,train/success_rate,train/episode,test/success_rate
0.034125913,20.0,0.26039925,-0.20246184,0.865465,0.10418292,0,0.61,100.0,1.0
0.032609526,40.0,0.26146147,-0.050254244,0.86981696,0.0952582,1,0.88,200.0,1.0
0.03229848,60.0,0.26233655,-0.14403689,0.87355167,0.09256532,2,0.79,300.0,1.0
0.032156125,80.0,0.26253265,-0.07199929,0.8742242,0.0914586,3,0.89,400.0,1.0
0.031978887,100.0,0.2627655,-0.05229939,0.8752718,0.09043727,4,0.86,500.0,1.0
0.031830125,120.0,0.26266503,-0.091155365,0.8749151,0.08963286,5,0.85,600.0,1.0
0.031793784,140.0,0.26274985,-0.046924856,0.8752087,0.08927513,6,0.79,700.0,1.0
0.031768396,160.0,0.2626067,-0.047954835,0.87482166,0.08902749,7,0.75,800.0,1.0
0.03166623,180.0,0.26281413,-0.07352807,0.87562895,0.08863925,8,0.84,900.0,1.0
0.03163658,200.0,0.26306358,-0.089058705,0.8766249,0.088451125,9,0.83,1000.0,1.0
0.031517766,220.0,0.26295593,-0.07748669,0.8762596,0.08792747,10,0.75,1100.0,1.0
0.031436875,240.0,0.2630097,-0.07178165,0.8764634,0.08767718,11,0.87,1200.0,1.0
0.031439506,260.0,0.26316553,-0.07886854,0.8770735,0.08767471,12,0.84,1300.0,1.0
0.03133502,280.0,0.26302356,-0.043521218,0.87653804,0.08722013,13,0.8,1400.0,1.0
0.031320672,300.0,0.26307666,-0.077353306,0.87668914,0.08719387,14,0.81,1500.0,1.0
0.031305775,320.0,0.26317024,-0.091051556,0.8770569,0.08714358,15,0.84,1600.0,1.0
0.031249225,340.0,0.26298445,-0.10380888,0.87637997,0.08689824,16,0.87,1700.0,1.0
0.03127243,360.0,0.262985,-0.088990785,0.87636954,0.08694764,17,0.83,1800.0,1.0
0.031243026,380.0,0.2629395,-0.053740762,0.8761651,0.0869017,18,0.75,1900.0,1.0
0.031263664,400.0,0.2629371,-0.08118819,0.87613344,0.08699114,19,0.75,2000.0,1.0
0.031187918,420.0,0.26295337,-0.042492967,0.8762021,0.08672335,20,0.78,2100.0,1.0
0.03112555,440.0,0.26289713,-0.043338783,0.87600493,0.08652168,21,0.82,2200.0,1.0
0.031073919,460.0,0.26286045,-0.078164764,0.87590265,0.08634273,22,0.77,2300.0,1.0
0.031056497,480.0,0.26284236,-0.033932496,0.8758076,0.086268574,23,0.76,2400.0,1.0
0.031031746,500.0,0.2628645,-0.0686143,0.8759143,0.08615634,24,0.84,2500.0,1.0
0.03097192,520.0,0.2628217,-0.08449171,0.87574345,0.085952364,25,0.77,2600.0,1.0
0.030958882,540.0,0.2627908,-0.04064419,0.87562543,0.08589936,26,0.72,2700.0,1.0
0.03095977,560.0,0.26280206,-0.08740876,0.87571377,0.08591291,27,0.78,2800.0,1.0
0.030979022,580.0,0.26276076,-0.038076438,0.8755433,0.0859685,28,0.76,2900.0,1.0
0.03097314,600.0,0.26275197,-0.07608545,0.87547517,0.085989125,29,0.79,3000.0,1.0
0.030989775,620.0,0.2627661,-0.05566935,0.8755272,0.086032175,30,0.78,3100.0,1.0
0.031024244,640.0,0.2627998,-0.06406652,0.8756431,0.08616525,31,0.79,3200.0,1.0
0.031023007,660.0,0.26284313,-0.023666112,0.87578756,0.08616092,32,0.87,3300.0,1.0
0.031016137,680.0,0.26286328,-0.055870615,0.8758624,0.08613109,33,0.85,3400.0,1.0
0.03103449,700.0,0.26284766,-0.09809441,0.8758244,0.08619416,34,0.86,3500.0,1.0
0.031044945,720.0,0.2628878,-0.045967985,0.87598467,0.08623368,35,0.81,3600.0,1.0
0.03104825,740.0,0.26287276,-0.04432722,0.8759203,0.0862534,36,0.8,3700.0,1.0
0.03102516,760.0,0.2629003,-0.044854846,0.8760217,0.086196505,37,0.8,3800.0,1.0
0.030983534,780.0,0.26285177,-0.06766758,0.87585,0.08605037,38,0.83,3900.0,1.0
0.030971646,800.0,0.26282418,-0.09857242,0.8757294,0.086024575,39,0.83,4000.0,1.0
0.030963028,820.0,0.26280776,-0.045276392,0.87568545,0.08599133,40,0.76,4100.0,1.0
0.03095707,840.0,0.26283553,-0.05726849,0.8758003,0.08595113,41,0.73,4200.0,1.0
0.030968666,860.0,0.26285967,-0.032931414,0.87590426,0.08601254,42,0.73,4300.0,1.0
0.030964676,880.0,0.26287237,-0.070495345,0.87594396,0.08602739,43,0.82,4400.0,1.0
0.030988863,900.0,0.26281554,-0.030566236,0.8757331,0.08610543,44,0.73,4500.0,1.0
0.030974528,920.0,0.26282403,-0.039828513,0.87577075,0.086075865,45,0.75,4600.0,1.0
0.030968541,940.0,0.26277894,-0.08615867,0.8755823,0.08605342,46,0.74,4700.0,1.0
0.030956227,960.0,0.26275143,-0.051970422,0.8754952,0.086016156,47,0.71,4800.0,1.0
0.030937308,980.0,0.2627382,-0.066990785,0.8754534,0.08596813,48,0.78,4900.0,1.0
0.030932933,1000.0,0.26274,0.0021607396,0.8754571,0.08596722,49,0.73,5000.0,1.0
