stats_g/std,train/success_rate,stats_o/mean,stats_o/std,train/episode,test/episode,epoch,test/success_rate,test/mean_Q,stats_g/mean
0.10418292,0.61,0.26039925,0.034125913,100.0,20.0,0,1.0,-0.20246184,0.865465
0.0952582,0.88,0.26146147,0.032609526,200.0,40.0,1,1.0,-0.050254244,0.86981696
0.09256532,0.79,0.26233655,0.03229848,300.0,60.0,2,1.0,-0.14403689,0.87355167
0.0914586,0.89,0.26253265,0.032156125,400.0,80.0,3,1.0,-0.07199929,0.8742242
0.09043727,0.86,0.2627655,0.031978887,500.0,100.0,4,1.0,-0.05229939,0.8752718
0.08963286,0.85,0.26266503,0.031830125,600.0,120.0,5,1.0,-0.091155365,0.8749151
0.08927513,0.79,0.26274985,0.031793784,700.0,140.0,6,1.0,-0.046924856,0.8752087
0.08902749,0.75,0.2626067,0.031768396,800.0,160.0,7,1.0,-0.047954835,0.87482166
0.08863925,0.84,0.26281413,0.03166623,900.0,180.0,8,1.0,-0.07352807,0.87562895
0.088451125,0.83,0.26306358,0.03163658,1000.0,200.0,9,1.0,-0.089058705,0.8766249
0.08792747,0.75,0.26295593,0.031517766,1100.0,220.0,10,1.0,-0.07748669,0.8762596
0.08767718,0.87,0.2630097,0.031436875,1200.0,240.0,11,1.0,-0.07178165,0.8764634
0.08767471,0.84,0.26316553,0.031439506,1300.0,260.0,12,1.0,-0.07886854,0.8770735
0.08722013,0.8,0.26302356,0.03133502,1400.0,280.0,13,1.0,-0.043521218,0.87653804
0.08719387,0.81,0.26307666,0.031320672,1500.0,300.0,14,1.0,-0.077353306,0.87668914
0.08714358,0.84,0.26317024,0.031305775,1600.0,320.0,15,1.0,-0.091051556,0.8770569
0.08689824,0.87,0.26298445,0.031249225,1700.0,340.0,16,1.0,-0.10380888,0.87637997
0.08694764,0.83,0.262985,0.03127243,1800.0,360.0,17,1.0,-0.088990785,0.87636954
0.0869017,0.75,0.2629395,0.031243026,1900.0,380.0,18,1.0,-0.053740762,0.8761651
0.08699114,0.75,0.2629371,0.031263664,2000.0,400.0,19,1.0,-0.08118819,0.87613344
0.08672335,0.78,0.26295337,0.031187918,2100.0,420.0,20,1.0,-0.042492967,0.8762021
0.08652168,0.82,0.26289713,0.03112555,2200.0,440.0,21,1.0,-0.043338783,0.87600493
0.08634273,0.77,0.26286045,0.031073919,2300.0,460.0,22,1.0,-0.078164764,0.87590265
0.086268574,0.76,0.26284236,0.031056497,2400.0,480.0,23,1.0,-0.033932496,0.8758076
0.08615634,0.84,0.2628645,0.031031746,2500.0,500.0,24,1.0,-0.0686143,0.8759143
0.085952364,0.77,0.2628217,0.03097192,2600.0,520.0,25,1.0,-0.08449171,0.87574345
0.08589936,0.72,0.2627908,0.030958882,2700.0,540.0,26,1.0,-0.04064419,0.87562543
0.08591291,0.78,0.26280206,0.03095977,2800.0,560.0,27,1.0,-0.08740876,0.87571377
0.0859685,0.76,0.26276076,0.030979022,2900.0,580.0,28,1.0,-0.038076438,0.8755433
0.085989125,0.79,0.26275197,0.03097314,3000.0,600.0,29,1.0,-0.07608545,0.87547517
0.086032175,0.78,0.2627661,0.030989775,3100.0,620.0,30,1.0,-0.05566935,0.8755272
0.08616525,0.79,0.2627998,0.031024244,3200.0,640.0,31,1.0,-0.06406652,0.8756431
0.08616092,0.87,0.26284313,0.031023007,3300.0,660.0,32,1.0,-0.023666112,0.87578756
0.08613109,0.85,0.26286328,0.031016137,3400.0,680.0,33,1.0,-0.055870615,0.8758624
0.08619416,0.86,0.26284766,0.03103449,3500.0,700.0,34,1.0,-0.09809441,0.8758244
0.08623368,0.81,0.2628878,0.031044945,3600.0,720.0,35,1.0,-0.045967985,0.87598467
0.0862534,0.8,0.26287276,0.03104825,3700.0,740.0,36,1.0,-0.04432722,0.8759203
0.086196505,0.8,0.2629003,0.03102516,3800.0,760.0,37,1.0,-0.044854846,0.8760217
0.08605037,0.83,0.26285177,0.030983534,3900.0,780.0,38,1.0,-0.06766758,0.87585
0.086024575,0.83,0.26282418,0.030971646,4000.0,800.0,39,1.0,-0.09857242,0.8757294
0.08599133,0.76,0.26280776,0.030963028,4100.0,820.0,40,1.0,-0.045276392,0.87568545
0.08595113,0.73,0.26283553,0.03095707,4200.0,840.0,41,1.0,-0.05726849,0.8758003
0.08601254,0.73,0.26285967,0.030968666,4300.0,860.0,42,1.0,-0.032931414,0.87590426
0.08602739,0.82,0.26287237,0.030964676,4400.0,880.0,43,1.0,-0.070495345,0.87594396
0.08610543,0.73,0.26281554,0.030988863,4500.0,900.0,44,1.0,-0.030566236,0.8757331
0.086075865,0.75,0.26282403,0.030974528,4600.0,920.0,45,1.0,-0.039828513,0.87577075
0.08605342,0.74,0.26277894,0.030968541,4700.0,940.0,46,1.0,-0.08615867,0.8755823
0.086016156,0.71,0.26275143,0.030956227,4800.0,960.0,47,1.0,-0.051970422,0.8754952
0.08596813,0.78,0.2627382,0.030937308,4900.0,980.0,48,1.0,-0.066990785,0.8754534
0.08596722,0.73,0.26274,0.030932933,5000.0,1000.0,49,1.0,0.0021607396,0.8754571
