stats_g/mean,stats_g/std,stats_o/std,epoch,train/episode,test/mean_Q,test/success_rate,test/episode,stats_o/mean,train/success_rate
0.8666871,0.08461638,0.02869227,0,100.0,-0.37817615,0.985,20.0,0.2602076,0.674
0.8690548,0.084740065,0.0296125,1,200.0,-0.13568419,1.0,40.0,0.26087064,0.841
0.8709922,0.084847,0.03003093,2,300.0,-0.1432105,1.0,60.0,0.261424,0.8149999999999998
0.87161386,0.08523977,0.030305112,3,400.0,-0.14458087,1.0,80.0,0.26161712,0.818
0.8725093,0.08504957,0.030356014,4,500.0,-0.09416203,1.0,100.0,0.26184994,0.82
0.87277526,0.085281216,0.030462641,5,600.0,-0.08472679,1.0,120.0,0.26193208,0.776
0.87303144,0.08528733,0.030504787,6,700.0,-0.10723148,1.0,140.0,0.26201147,0.767
0.8735588,0.08529493,0.030526483,7,800.0,-0.10741188,1.0,160.0,0.26216012,0.774
0.8736884,0.08535518,0.030559966,8,900.0,-0.11361668,1.0,180.0,0.26220137,0.7470000000000001
0.87403345,0.08533713,0.030562889,9,1000.0,-0.10771607,1.0,200.0,0.2622947,0.736
0.87423915,0.085388444,0.03058671,10,1100.0,-0.078785636,1.0,220.0,0.26234657,0.74
0.8744844,0.085338384,0.03057377,11,1200.0,-0.09693484,1.0,240.0,0.26241177,0.752
0.8746624,0.08541515,0.030595232,12,1300.0,-0.06642761,1.0,260.0,0.2624575,0.761
0.8747362,0.08532116,0.03057618,13,1400.0,-0.08887976,1.0,280.0,0.2624816,0.744
0.87492645,0.08536747,0.030593151,14,1500.0,-0.071347184,1.0,300.0,0.26253408,0.765
0.8750973,0.08535862,0.030594599,15,1600.0,-0.061236233,1.0,320.0,0.26257765,0.761
0.8752117,0.08541604,0.030613288,16,1700.0,-0.0455609,1.0,340.0,0.26260918,0.773
0.8752731,0.08539322,0.030609792,17,1800.0,-0.0616001,1.0,360.0,0.26262945,0.7649999999999999
0.87534827,0.085374355,0.030602599,18,1900.0,-0.048595544,1.0,380.0,0.26265037,0.7529999999999999
0.87543833,0.08543426,0.030615771,19,2000.0,-0.07063596,1.0,400.0,0.2626739,0.759
0.87541926,0.08543602,0.030613566,20,2100.0,-0.07872991,1.0,420.0,0.26266924,0.748
0.8752717,0.08538697,0.030598456,21,2200.0,-0.042729955,1.0,440.0,0.26263246,0.752
0.8752367,0.085414395,0.030603165,22,2300.0,-0.07705621,1.0,460.0,0.26262397,0.789
0.8752004,0.08537767,0.030592626,23,2400.0,-0.059339117,1.0,480.0,0.26261407,0.749
0.87523097,0.085385464,0.030594662,24,2500.0,-0.050201405,1.0,500.0,0.26261926,0.764
0.87520397,0.08532681,0.030577611,25,2600.0,-0.05377419,1.0,520.0,0.2626165,0.756
0.87521744,0.085356906,0.030584753,26,2700.0,-0.04872532,1.0,540.0,0.26261926,0.73
0.8751957,0.08537674,0.030587947,27,2800.0,-0.07523666,1.0,560.0,0.26260918,0.76
0.8752516,0.08537787,0.030586377,28,2900.0,-0.06561296,1.0,580.0,0.26262465,0.759
0.87521446,0.08538266,0.030584704,29,3000.0,-0.053029705,1.0,600.0,0.26261553,0.748
0.87517834,0.08539772,0.03058526,30,3100.0,-0.0899571,1.0,620.0,0.26260766,0.764
0.87522537,0.08538578,0.030581856,31,3200.0,-0.070185445,0.9949999999999999,640.0,0.2626225,0.749
0.8752635,0.08541393,0.03059124,32,3300.0,-0.08353625,1.0,660.0,0.26263744,0.754
0.8752325,0.08544423,0.030598516,33,3400.0,-0.06973914,1.0,680.0,0.26263,0.753
0.8752817,0.08549328,0.03061018,34,3500.0,-0.04993238,1.0,700.0,0.2626407,0.768
0.8753041,0.08552444,0.030617971,35,3600.0,-0.056689642,1.0,720.0,0.2626471,0.736
0.87531453,0.08553566,0.03062146,36,3700.0,-0.06036216,1.0,740.0,0.26265258,0.75
0.8753766,0.08548981,0.030606905,37,3800.0,-0.06982245,1.0,760.0,0.26266825,0.728
0.87530965,0.08547153,0.030602822,38,3900.0,-0.0498889,1.0,780.0,0.26265132,0.736
0.875322,0.085495874,0.03060677,39,4000.0,-0.037082385,1.0,800.0,0.2626525,0.748
0.8753212,0.0854896,0.03060316,40,4100.0,-0.06993781,1.0,820.0,0.26265168,0.739
0.87533396,0.085474886,0.030596867,41,4200.0,-0.061811827,1.0,840.0,0.262654,0.7449999999999999
0.87528,0.08546622,0.030595383,42,4300.0,-0.07145421,1.0,860.0,0.2626394,0.7489999999999999
0.8752672,0.08543487,0.030587206,43,4400.0,-0.08181594,0.9949999999999999,880.0,0.26263672,0.7470000000000001
0.8753149,0.08543557,0.030585816,44,4500.0,-0.06800504,1.0,900.0,0.26264876,0.734
0.875302,0.085458145,0.030590827,45,4600.0,-0.074261054,1.0,920.0,0.2626447,0.735
0.8752462,0.085449256,0.030585846,46,4700.0,-0.06046758,1.0,940.0,0.26263142,0.7230000000000001
0.87522775,0.08545172,0.030586645,47,4800.0,-0.06524657,1.0,960.0,0.2626264,0.749
0.87522584,0.08543512,0.030582171,48,4900.0,-0.052683413,1.0,980.0,0.26262605,0.75
0.8752556,0.08544781,0.03058385,49,5000.0,-0.06690087,1.0,1000.0,0.26263565,0.718
