test/episode,stats_o/std,train/episode,test/success_rate,stats_g/mean,stats_o/mean,epoch,train/success_rate,test/mean_Q,stats_g/std
20.0,0.033162676,100.0,1.0,0.86776185,0.26037306,0,0.68,-0.23236373,0.0955567
40.0,0.032437675,200.0,1.0,0.8718865,0.2615737,1,0.8,-0.10927435,0.09073792
60.0,0.032321934,300.0,1.0,0.87381893,0.26216874,2,0.75,-0.0638261,0.08961446
80.0,0.032349013,400.0,1.0,0.8742855,0.2623393,3,0.82,-0.07348347,0.08923415
100.0,0.032331634,500.0,1.0,0.8755664,0.26270533,4,0.83,-0.10182117,0.088952005
120.0,0.032143332,600.0,1.0,0.8752722,0.26262867,5,0.84,-0.05706056,0.08817661
140.0,0.032111857,700.0,1.0,0.87591213,0.26278925,6,0.86,-0.073697746,0.08796829
160.0,0.032043703,800.0,1.0,0.8755756,0.26268655,7,0.83,-0.056425206,0.08765751
180.0,0.03196434,900.0,1.0,0.8761682,0.2628562,8,0.78,-0.03408625,0.087336965
200.0,0.03192956,1000.0,1.0,0.8770737,0.26313463,9,0.82,-0.06973775,0.08716946
220.0,0.031810068,1100.0,1.0,0.8766056,0.26299652,10,0.78,-0.07621216,0.086816646
240.0,0.031741124,1200.0,1.0,0.876726,0.26305112,11,0.75,-0.04498991,0.086535454
260.0,0.031751487,1300.0,1.0,0.8772461,0.26318946,12,0.88,-0.059413504,0.08651358
280.0,0.03167016,1400.0,1.0,0.8766394,0.2630301,13,0.79,-0.036679275,0.08620989
300.0,0.03167123,1500.0,1.0,0.8768735,0.26309365,14,0.74,-0.04625397,0.08616608
320.0,0.031668402,1600.0,1.0,0.87725353,0.26321173,15,0.8,-0.075034045,0.086204074
340.0,0.031626426,1700.0,1.0,0.8765549,0.2630192,16,0.88,-0.09415105,0.08603106
360.0,0.031658694,1800.0,1.0,0.8764791,0.2630034,17,0.83,-0.052289564,0.086148225
380.0,0.031646967,1900.0,1.0,0.8762953,0.26295188,18,0.78,-0.05856377,0.08613602
400.0,0.03171041,2000.0,1.0,0.8762304,0.2629433,19,0.79,-0.07237009,0.086286925
420.0,0.03166253,2100.0,1.0,0.87627393,0.26295823,20,0.86,-0.032632336,0.08612886
440.0,0.031611893,2200.0,1.0,0.8759381,0.26286155,21,0.9,-0.08464901,0.085943855
460.0,0.031559028,2300.0,1.0,0.8758449,0.26283985,22,0.9,-0.06472762,0.08577437
480.0,0.03155966,2400.0,1.0,0.87577534,0.26282173,23,0.83,-0.057531457,0.08575529
500.0,0.03153625,2500.0,1.0,0.87593323,0.26287654,24,0.86,-0.035424363,0.08565494
520.0,0.031497546,2600.0,1.0,0.8757027,0.26281157,25,0.8,-0.06496121,0.08552781
540.0,0.031493954,2700.0,1.0,0.8756459,0.2627946,26,0.83,-0.06895365,0.0854938
560.0,0.03150067,2800.0,1.0,0.87567776,0.26279894,27,0.81,-0.038581304,0.08551103
580.0,0.031524274,2900.0,1.0,0.8754794,0.262733,28,0.86,-0.036749363,0.08563282
600.0,0.031534918,3000.0,1.0,0.8754851,0.2627377,29,0.82,-0.078228235,0.085663736
620.0,0.031556834,3100.0,1.0,0.8756213,0.26277012,30,0.82,-0.06284874,0.08576304
640.0,0.031587854,3200.0,1.0,0.87572414,0.2627979,31,0.86,-0.072676904,0.08589036
660.0,0.031592492,3300.0,1.0,0.87591887,0.26285154,32,0.8,-0.087820195,0.085922174
680.0,0.031573433,3400.0,1.0,0.87599206,0.262874,33,0.85,-0.07954069,0.0858529
700.0,0.031599425,3500.0,1.0,0.87598866,0.2628716,34,0.78,-0.05826031,0.08594904
720.0,0.031617925,3600.0,1.0,0.8761645,0.26291823,35,0.81,-0.06368697,0.086018585
740.0,0.031613816,3700.0,1.0,0.87605065,0.26289073,36,0.83,-0.058677234,0.08600775
760.0,0.031600237,3800.0,1.0,0.8760955,0.26290447,37,0.79,-0.06800014,0.08595246
780.0,0.031564407,3900.0,1.0,0.8759181,0.26285133,38,0.79,-0.059940457,0.085836716
800.0,0.031564794,4000.0,1.0,0.8757587,0.26280162,39,0.78,-0.04714053,0.08583689
820.0,0.031567983,4100.0,1.0,0.87570626,0.2627861,40,0.77,-0.05723995,0.08584549
840.0,0.031553946,4200.0,1.0,0.8757836,0.26280564,41,0.69,-0.044928085,0.08580369
860.0,0.031571202,4300.0,1.0,0.87584233,0.26282153,42,0.81,-0.04820927,0.085859686
880.0,0.031562727,4400.0,1.0,0.87587947,0.2628334,43,0.8,-0.07067008,0.085838675
900.0,0.03158604,4500.0,1.0,0.8756549,0.2627708,44,0.84,-0.06042384,0.08591965
920.0,0.031566225,4600.0,1.0,0.8756669,0.2627742,45,0.82,-0.052619345,0.085843764
940.0,0.031559207,4700.0,1.0,0.8755005,0.2627258,46,0.72,-0.08937335,0.085808754
960.0,0.03155082,4800.0,1.0,0.8754704,0.26271367,47,0.77,-0.0958279,0.085793175
980.0,0.031540763,4900.0,1.0,0.87538695,0.26269013,48,0.74,-0.08185469,0.08574828
1000.0,0.0315449,5000.0,1.0,0.87532204,0.26267546,49,0.75,-0.057310425,0.085772336
