test/episode,stats_g/mean,train/success_rate,train/episode,stats_o/mean,test/success_rate,test/mean_Q,stats_g/std,epoch,stats_o/std
20.0,0.8662922,0.71,100.0,0.2599842,1.0,-0.28727955,0.1013712,0,0.0345574
40.0,0.8705385,0.83,200.0,0.26120377,1.0,-0.061863493,0.093845926,1,0.03307786
60.0,0.8734624,0.87,300.0,0.2621123,1.0,-0.0429871,0.092108406,2,0.032963347
80.0,0.87436503,0.83,400.0,0.26238525,1.0,-0.06983132,0.09129852,3,0.03283264
100.0,0.87555236,0.84,500.0,0.26268214,1.0,-0.05026592,0.090551436,4,0.032701068
120.0,0.87496156,0.84,600.0,0.26250544,1.0,-0.049233478,0.08980922,5,0.03253977
140.0,0.87566406,0.87,700.0,0.26274902,1.0,-0.028386211,0.08911217,6,0.032398377
160.0,0.8752799,0.82,800.0,0.26262695,1.0,-0.043375045,0.088696,7,0.032311738
180.0,0.87600344,0.79,900.0,0.2628169,1.0,-0.07373153,0.088336796,8,0.032215945
200.0,0.87707955,0.87,1000.0,0.26310968,1.0,-0.07588033,0.088155605,9,0.032176655
220.0,0.87666625,0.86,1100.0,0.26300454,1.0,-0.058000773,0.08765743,10,0.032040797
240.0,0.8767433,0.79,1200.0,0.2630358,1.0,-0.061868537,0.087411135,11,0.031964697
260.0,0.8772745,0.81,1300.0,0.26318386,1.0,-0.08577629,0.08728379,12,0.031938754
280.0,0.8765282,0.88,1400.0,0.26298606,1.0,-0.062449027,0.08695161,13,0.03183754
300.0,0.87657356,0.81,1500.0,0.26300827,1.0,-0.08851342,0.0869595,14,0.031842455
320.0,0.8769181,0.87,1600.0,0.2630927,1.0,-0.057925798,0.08701519,15,0.03186853
340.0,0.8762956,0.83,1700.0,0.26292378,1.0,-0.07009392,0.08679483,16,0.03180264
360.0,0.8762879,0.79,1800.0,0.26290327,1.0,-0.04924958,0.08687595,17,0.03183438
380.0,0.876077,0.85,1900.0,0.26285586,1.0,-0.06306523,0.086806655,18,0.031824544
400.0,0.8759989,0.82,2000.0,0.26284465,1.0,-0.063038275,0.086856686,19,0.03183508
420.0,0.87599707,0.73,2100.0,0.26284856,1.0,-0.036263492,0.086637,20,0.03177048
440.0,0.87575275,0.82,2200.0,0.26277187,1.0,-0.0961325,0.086433835,21,0.031718038
460.0,0.87559813,0.74,2300.0,0.26273394,1.0,-0.058072906,0.086183526,22,0.031645894
480.0,0.8754892,0.78,2400.0,0.2626947,1.0,-0.034277875,0.08612887,23,0.031634785
500.0,0.875665,0.83,2500.0,0.26273817,1.0,-0.06786175,0.086075924,24,0.03162422
520.0,0.87554234,0.81,2600.0,0.26270235,1.0,-0.061828293,0.085956454,25,0.031581953
540.0,0.8754937,0.77,2700.0,0.2626921,1.0,-0.051391125,0.08589226,26,0.03155961
560.0,0.8755495,0.73,2800.0,0.26270428,1.0,-0.06980274,0.0859066,27,0.03156168
580.0,0.87533396,0.81,2900.0,0.2626489,1.0,-0.06850514,0.08601153,28,0.031586327
600.0,0.87538385,0.81,3000.0,0.26266956,1.0,-0.069787905,0.08595931,29,0.031568993
620.0,0.87551755,0.78,3100.0,0.26270527,1.0,-0.04810196,0.085979424,30,0.031572312
640.0,0.8756559,0.86,3200.0,0.26274315,1.0,-0.06929959,0.08615187,31,0.031616766
660.0,0.8758965,0.7,3300.0,0.2628097,1.0,-0.049744792,0.08616671,32,0.031619422
680.0,0.8759796,0.79,3400.0,0.26283842,1.0,-0.08120422,0.086136065,33,0.031606995
700.0,0.8759649,0.83,3500.0,0.2628289,1.0,-0.05791968,0.08622778,34,0.031628918
720.0,0.876142,0.78,3600.0,0.26288348,1.0,-0.058311813,0.08629292,35,0.03164626
740.0,0.8760824,0.84,3700.0,0.26286307,1.0,-0.042890705,0.086291395,36,0.031647984
760.0,0.8761673,0.85,3800.0,0.26288852,1.0,-0.059893113,0.08624459,37,0.031636156
780.0,0.87605447,0.76,3900.0,0.26285654,1.0,-0.064533524,0.086131714,38,0.031605415
800.0,0.8759637,0.85,4000.0,0.26283166,1.0,-0.06317933,0.08609432,39,0.031600438
820.0,0.87592345,0.71,4100.0,0.26282105,1.0,-0.06401505,0.08606889,40,0.031594463
840.0,0.8759606,0.8,4200.0,0.2628345,1.0,-0.059368085,0.086028874,41,0.03158254
860.0,0.8760535,0.78,4300.0,0.26285282,1.0,-0.072093904,0.0860472,42,0.031590484
880.0,0.8760631,0.83,4400.0,0.26285625,1.0,-0.0648724,0.08599207,43,0.03157329
900.0,0.87585276,0.74,4500.0,0.26279488,1.0,-0.054248355,0.08607092,44,0.031592492
920.0,0.8758765,0.75,4600.0,0.2627973,1.0,-0.05368642,0.086015336,45,0.031576402
940.0,0.87567997,0.82,4700.0,0.26274565,1.0,-0.08207263,0.08600726,46,0.031569287
960.0,0.8756009,0.84,4800.0,0.26272398,1.0,-0.057296455,0.08595496,47,0.031553708
980.0,0.8755228,0.74,4900.0,0.2627048,1.0,-0.07312097,0.08591458,48,0.031546257
1000.0,0.87548256,0.81,5000.0,0.2626936,1.0,-0.058483325,0.085922986,49,0.031551488
