epoch,stats_o/std,train/episode,stats_o/mean,train/success_rate,test/episode,stats_g/mean,stats_g/std,test/success_rate,test/mean_Q
0,0.0345574,100.0,0.2599842,0.71,20.0,0.8662922,0.1013712,1.0,-0.28727955
1,0.03307786,200.0,0.26120377,0.83,40.0,0.8705385,0.093845926,1.0,-0.061863493
2,0.0327183,300.0,0.26199317,0.86,60.0,0.873377,0.091647096,1.0,-0.043780915
3,0.032614153,400.0,0.26209202,0.83,80.0,0.87376434,0.09062475,1.0,-0.11969004
4,0.032525633,500.0,0.26254418,0.78,100.0,0.875206,0.09002787,1.0,-0.0784698
5,0.03232749,600.0,0.2625014,0.82,120.0,0.87499315,0.089040816,1.0,-0.039588325
6,0.032300517,700.0,0.26263878,0.87,140.0,0.87543684,0.08886201,1.0,-0.043257408
7,0.032215606,800.0,0.26249784,0.81,160.0,0.8750171,0.08846902,1.0,-0.056415044
8,0.03210638,900.0,0.26264355,0.86,180.0,0.8756301,0.08809484,1.0,-0.04949648
9,0.032113314,1000.0,0.2630268,0.78,200.0,0.87689877,0.088017635,1.0,-0.08549144
10,0.031974047,1100.0,0.26289183,0.85,220.0,0.87644845,0.087523304,1.0,-0.07175799
11,0.03187911,1200.0,0.2629448,0.84,240.0,0.8766532,0.087136954,1.0,-0.03382881
12,0.031862315,1300.0,0.26310313,0.81,260.0,0.87713736,0.08699446,1.0,-0.071869835
13,0.031765517,1400.0,0.2629133,0.86,280.0,0.8764529,0.08669623,1.0,-0.06762705
14,0.031754017,1500.0,0.26295546,0.86,300.0,0.8766038,0.0866768,1.0,-0.034837313
15,0.03175357,1600.0,0.26309168,0.81,320.0,0.87702274,0.08662295,1.0,-0.08426924
16,0.03170366,1700.0,0.2628783,0.77,340.0,0.8762722,0.086432315,1.0,-0.06208999
17,0.031754497,1800.0,0.2628582,0.8,360.0,0.8761962,0.086599946,1.0,-0.090600096
18,0.031735633,1900.0,0.26283222,0.78,380.0,0.8760628,0.08654892,1.0,-0.085826024
19,0.03175621,2000.0,0.2628437,0.83,400.0,0.8761018,0.08663297,1.0,-0.07870516
20,0.03172127,2100.0,0.26286837,0.86,420.0,0.8761759,0.08648718,1.0,-0.037639067
21,0.03167626,2200.0,0.26278606,0.82,440.0,0.8758834,0.08631849,1.0,-0.110606454
22,0.031622052,2300.0,0.26277208,0.82,460.0,0.87580657,0.086122476,1.0,-0.042130973
23,0.031623177,2400.0,0.26273352,0.76,480.0,0.8756843,0.086114705,1.0,-0.04100444
24,0.031607956,2500.0,0.2627797,0.8,500.0,0.8758125,0.08606479,1.0,-0.08101649
25,0.0315615,2600.0,0.2627291,0.78,520.0,0.8756258,0.08588608,1.0,-0.06845527
26,0.031558014,2700.0,0.26270068,0.76,540.0,0.875524,0.085867465,1.0,-0.049145658
27,0.03155496,2800.0,0.26270264,0.83,560.0,0.87551355,0.08585039,1.0,-0.048086796
28,0.031580497,2900.0,0.26265776,0.81,580.0,0.8753646,0.08595573,1.0,-0.07661404
29,0.03158592,3000.0,0.26265326,0.79,600.0,0.8753608,0.085970394,1.0,-0.04578009
30,0.031597994,3100.0,0.26269117,0.84,620.0,0.8755298,0.08598298,1.0,-0.031987585
31,0.03164504,3200.0,0.26273447,0.89,640.0,0.87568015,0.0861606,1.0,-0.05740984
32,0.031634614,3300.0,0.2627836,0.78,660.0,0.87584573,0.08612747,1.0,-0.092037566
33,0.031623088,3400.0,0.26281363,0.87,680.0,0.8759479,0.086101376,1.0,-0.08477725
34,0.03164796,3500.0,0.26280612,0.75,700.0,0.875923,0.086188644,1.0,-0.05652188
35,0.031654995,3600.0,0.2628621,0.85,720.0,0.8761106,0.08623975,1.0,-0.091503896
36,0.031658605,3700.0,0.26280677,0.8,740.0,0.87592715,0.08626935,1.0,-0.07805037
37,0.031654976,3800.0,0.26282397,0.75,760.0,0.87596065,0.08626438,1.0,-0.0786639
38,0.031626854,3900.0,0.2627899,0.85,780.0,0.87582093,0.086166285,1.0,-0.08532272
39,0.031610783,4000.0,0.26275462,0.77,800.0,0.87569207,0.08613668,1.0,-0.078793965
40,0.031606015,4100.0,0.26275295,0.87,820.0,0.8756972,0.08613017,1.0,-0.07373975
41,0.03158637,4200.0,0.26279065,0.77,840.0,0.87583876,0.086093955,1.0,-0.04399683
42,0.031595506,4300.0,0.26281705,0.8,860.0,0.87592745,0.086144835,1.0,-0.03337468
43,0.031580582,4400.0,0.26283616,0.81,880.0,0.8759883,0.08609911,1.0,-0.06924005
44,0.03160273,4500.0,0.26278156,0.89,900.0,0.8757853,0.08619181,1.0,-0.042764004
45,0.031583942,4600.0,0.26280352,0.79,920.0,0.8758696,0.08611739,1.0,-0.037094392
46,0.031571217,4700.0,0.26274896,0.78,940.0,0.87569827,0.08606944,1.0,-0.09465472
47,0.03156271,4800.0,0.2627279,0.71,960.0,0.87562054,0.086029656,1.0,-0.04449134
48,0.031549927,4900.0,0.2627119,0.77,980.0,0.8755606,0.08598537,1.0,-0.0837961
49,0.03154287,5000.0,0.26271093,0.75,1000.0,0.8755539,0.085967965,1.0,-0.030723805
